Wavelength	Extintion_coeff
1433.31053	0
1436.9015	0
1440.49248	0
1444.08345	0
1447.67442	0
1451.26539	0
1454.85636	0
1458.44733	0
1462.0383	0
1465.62927	0
1469.22025	0
1472.81122	0
1476.40219	0
1479.99316	0
1483.58413	0
1487.1751	0
1490.76607	0
1494.35705	0
1497.94802	0
1501.53899	0
1505.12996	0
1508.72093	0
1512.3119	0
1515.90287	0
1519.49384	0
1523.08482	0
1526.67579	0
1530.26676	0
1533.85773	0
1537.4487	0
1541.03967	0
1544.63064	0
1548.22161	0
1551.81259	0
1555.40356	0
1558.99453	0
1562.5855	0
1566.17647	0
1569.76744	0
1573.35841	0
1576.94938	0
1580.54036	0
1584.13133	0
1587.7223	0
1591.31327	0
1594.90424	0
1598.49521	0
1602.08618	0
1605.67715	0
1609.26813	0
1612.8591	0
1616.45007	0
1620.04104	0
1623.63201	0
1627.22298	0
1630.81395	0
1634.40492	0
1637.9959	0
1641.58687	0
1645.17784	0
1648.76881	0
1652.35978	0
1655.95075	0
1659.54172	0
1663.13269	0
1666.72367	0
1670.31464	0
1673.90561	0
1677.49658	0
1681.08755	0
1684.67852	0
1688.26949	0
1691.86047	0
1695.45144	0
1699.04241	0
1702.63338	0
1706.22435	0
1709.81532	0
1713.40629	0
1716.99726	0
1720.58824	0
1724.17921	0
1727.77018	0
1731.36115	0
1734.95212	0
1738.54309	0
1742.13406	0
1745.72503	0
1749.31601	0
1752.90698	0
1756.49795	0
1760.08892	0
1763.67989	0
1767.27086	0
1770.86183	0
1774.4528	0
1778.04378	0
1781.63475	0
1785.22572	0
1788.81669	0
1792.40766	0
1795.99863	0
1799.5896	0
1803.18057	0
1806.77155	0
1810.36252	0
1813.95349	0
1817.54446	0
1821.13543	0
1824.7264	0
1828.31737	0
1831.90834	0
1835.49932	0
1839.09029	0
1842.68126	0
1846.27223	0
1849.8632	0
1853.45417	0
1857.04514	0
1860.63611	0
1864.22709	0
1867.81806	0
1871.40903	0
1875	0
1878.59097	0
