Wavelength(nm)	k
203.28	1.233
210.17	1.095
217.54	0.976
225.45	0.856
233.96	0.74
243.14	0.63
253.06	0.544
263.83	0.479
275.56	0.43
288.37	0.402
302.44	0.376
317.95	0.361
335.14	0.349
354.29	0.339
364.71	0.261
370.15	0.167
375.76	0
400	0
427.59	0
459.26	0
496	0
539.13	0
590.48	0
620	0
688.89	0
729.41	0
775	0
826.67	0
885.71	0
953.85	0
