Wavelength(nm)	n
610.98196	2.43692
612.03206	2.43657
613.08216	2.43622
614.13226	2.43587
615.18236	2.43553
616.23246	2.43519
617.28257	2.43485
618.33267	2.43451
619.38277	2.43418
620.43287	2.43385
621.48297	2.43352
622.53307	2.43319
623.58317	2.43287
624.63327	2.43255
625.68337	2.43224
626.73347	2.43192
627.78357	2.43161
628.83367	2.4313
629.88377	2.431
630.93387	2.43069
631.98397	2.43039
633.03407	2.4301
634.08417	2.4298
635.13427	2.42951
636.18437	2.42922
637.23447	2.42894
638.28457	2.42865
639.33467	2.42837
640.38477	2.4281
641.43487	2.42782
642.48497	2.42755
643.53507	2.42728
644.58517	2.42701
645.63527	2.42675
646.68537	2.42649
647.73547	2.42623
648.78557	2.42598
649.83567	2.42572
650.88577	2.42547
651.93587	2.42523
652.98597	2.42498
654.03607	2.42474
655.08617	2.4245
656.13627	2.42427
657.18637	2.42404
658.23647	2.42381
659.28657	2.42358
660.33667	2.42335
661.38677	2.42313
662.43687	2.42291
663.48697	2.4227
664.53707	2.42248
665.58717	2.42226
666.63727	2.42205
667.68737	2.42183
668.73747	2.42162
669.78758	2.4214
670.83768	2.42119
671.88778	2.42098
672.93788	2.42077
673.98798	2.42056
675.03808	2.42035
676.08818	2.42014
677.13828	2.41993
678.18838	2.41972
679.23848	2.41951
680.28858	2.41931
681.33868	2.4191
682.38878	2.4189
683.43888	2.41869
684.48898	2.41849
685.53908	2.41828
686.58918	2.41808
687.63928	2.41788
688.68938	2.41768
689.73948	2.41748
690.78958	2.41728
691.83968	2.41708
692.88978	2.41689
693.93988	2.41669
694.98998	2.41649
696.04008	2.4163
697.09018	2.4161
698.14028	2.41591
699.19038	2.41571
700.24048	2.41552
701.29058	2.41533
702.34068	2.41514
703.39078	2.41495
704.44088	2.41476
705.49098	2.41457
706.54108	2.41438
707.59118	2.41419
708.64128	2.41401
709.69138	2.41382
710.74148	2.41364
711.79158	2.41345
712.84168	2.41327
713.89178	2.41308
714.94188	2.4129
715.99198	2.41272
717.04208	2.41254
718.09218	2.41236
719.14228	2.41218
720.19238	2.412
721.24248	2.41182
722.29259	2.41164
723.34269	2.41147
724.39279	2.41129
725.44289	2.41112
726.49299	2.41094
727.54309	2.41077
728.59319	2.4106
729.64329	2.41042
730.69339	2.41025
731.74349	2.41008
732.79359	2.40991
733.84369	2.40974
734.89379	2.40957
735.94389	2.40941
736.99399	2.40924
738.04409	2.40907
739.09419	2.40891
740.14429	2.40874
741.19439	2.40858
742.24449	2.40841
743.29459	2.40825
744.34469	2.40809
745.39479	2.40793
746.44489	2.40777
747.49499	2.40761
748.54509	2.40745
749.59519	2.40729
750.64529	2.40713
751.69539	2.40698
752.74549	2.40682
753.79559	2.40667
754.84569	2.40651
755.89579	2.40636
756.94589	2.4062
757.99599	2.40605
759.04609	2.4059
760.09619	2.40575
761.14629	2.4056
762.19639	2.40545
763.24649	2.4053
764.29659	2.40515
765.34669	2.40501
766.39679	2.40486
767.44689	2.40471
768.49699	2.40457
769.54709	2.40442
770.59719	2.40428
771.64729	2.40414
772.69739	2.404
773.74749	2.40385
774.7976	2.40371
775.8477	2.40357
776.8978	2.40343
777.9479	2.4033
778.998	2.40316
780.0481	2.40302
781.0982	2.40289
782.1483	2.40275
783.1984	2.40262
784.2485	2.40248
785.2986	2.40235
786.3487	2.40222
787.3988	2.40208
788.4489	2.40195
789.499	2.40182
790.5491	2.40169
791.5992	2.40156
792.6493	2.40144
793.6994	2.40131
794.7495	2.40118
795.7996	2.40106
796.8497	2.40093
797.8998	2.40081
798.9499	2.40068
800	2.40056
