Wavelenght	Refactive_index_10.10631.369398
743.24688	2.35752
744.52162	2.35731
745.79635	2.3571
747.07108	2.35688
748.34581	2.35666
749.62055	2.35644
750.89528	2.35622
752.17001	2.356
753.44474	2.35578
754.71948	2.35555
755.99421	2.35533
757.26894	2.35511
758.54367	2.35489
759.81841	2.35467
761.09314	2.35445
762.36787	2.35423
763.64261	2.35401
764.91734	2.35379
766.19207	2.35357
767.4668	2.35335
768.74154	2.35313
770.01627	2.35291
771.291	2.3527
772.56573	2.35249
773.84047	2.35228
775.1152	2.35207
776.38993	2.35186
777.66466	2.35166
778.9394	2.35146
780.21413	2.35126
781.48886	2.35106
782.7636	2.35087
784.03833	2.35068
785.31306	2.35049
786.58779	2.35031
787.86253	2.35013
789.13726	2.34995
790.41199	2.34977
791.68672	2.3496
792.96146	2.34943
794.23619	2.34926
795.51092	2.3491
796.78565	2.34894
798.06039	2.34878
799.33512	2.34862
800.60985	2.34846
801.88458	2.34831
803.15932	2.34816
804.43405	2.34802
805.70878	2.34787
806.98352	2.34773
808.25825	2.34759
809.53298	2.34745
810.80771	2.34732
812.08245	2.34718
813.35718	2.34705
814.63191	2.34692
815.90664	2.3468
817.18138	2.34668
818.45611	2.34656
819.73084	2.34644
821.00557	2.34632
822.28031	2.34621
823.55504	2.3461
824.82977	2.34599
826.10451	2.34588
827.37924	2.34578
828.65397	2.34568
829.9287	2.34558
831.20344	2.34548
832.47817	2.34539
833.7529	2.3453
835.02763	2.34521
836.30237	2.34512
837.5771	2.34504
838.85183	2.34496
840.12656	2.34488
841.4013	2.3448
842.67603	2.34473
843.95076	2.34465
845.2255	2.34458
846.50023	2.34452
