Wavelength(nm)	n
859.3699	3.65771
861.24177	3.65684
863.11364	3.65596
864.98551	3.65509
866.85738	3.65422
868.72925	3.65334
870.60112	3.65247
872.47299	3.6516
874.34486	3.65072
876.21673	3.64985
878.0886	3.64898
879.96047	3.6481
881.83234	3.64723
883.70421	3.64636
885.57608	3.64548
887.44795	3.64461
889.31982	3.64374
891.19169	3.64286
893.06356	3.64199
894.93542	3.64111
896.80729	3.64024
898.67916	3.63937
900.55103	3.63849
902.4229	3.63762
904.29477	3.63675
906.16664	3.63587
908.03851	3.635
909.91038	3.63413
911.78225	3.63325
913.65412	3.63238
915.52599	3.63151
917.39786	3.63063
919.26973	3.62976
921.1416	3.62889
923.01347	3.62801
924.88534	3.62714
926.75721	3.62627
928.62908	3.62539
930.50095	3.62452
932.37282	3.62365
934.24469	3.62277
936.11656	3.6219
937.98843	3.62103
939.8603	3.62015
941.73216	3.61928
943.60403	3.61841
945.4759	3.61753
947.34777	3.61666
949.21964	3.61579
951.09151	3.61491
952.96338	3.61404
954.83525	3.61317
956.70712	3.61229
958.57899	3.61142
960.45086	3.61055
962.32273	3.60967
964.1946	3.6088
966.06647	3.60793
967.93834	3.60705
969.81021	3.60618
971.68208	3.6053
973.55395	3.60443
975.42582	3.60356
977.29769	3.60268
979.16956	3.60181
981.04143	3.60094
982.9133	3.60006
984.78517	3.59919
986.65704	3.59832
988.5289	3.59744
990.40077	3.59657
992.27264	3.5957
994.14451	3.59482
996.01638	3.59395
997.88825	3.59308
999.76012	3.5922
1001.63199	3.59133
1003.50386	3.59046
1005.37573	3.58958
1007.2476	3.58871
1009.11947	3.58784
1010.99134	3.58696
1012.86321	3.58609
1014.73508	3.58522
1016.60695	3.58434
1018.47882	3.58347
1020.35069	3.5826
1022.22256	3.58172
1024.09443	3.58085
1025.9663	3.57998
1027.83817	3.5791
1029.71004	3.57823
1031.58191	3.57736
1033.45377	3.57648
1035.32564	3.57561
1037.19751	3.57474
1039.06938	3.57386
1040.94125	3.57299
1042.81312	3.57212
1044.68499	3.57124
1046.55686	3.57037
1048.42873	3.5695
1050.3006	3.56862
1052.17247	3.56775
1054.04434	3.56687
1055.91621	3.566
1057.78808	3.56513
1059.65995	3.56425
1061.53182	3.56338
1063.40369	3.56251
1065.27556	3.56163
1067.14743	3.56076
1069.0193	3.55989
1070.89117	3.55901
1072.76304	3.55814
1074.63491	3.55727
1076.50678	3.55639
1078.37865	3.55552
1080.25051	3.55465
1082.12238	3.55377
1083.99425	3.5529
1085.86612	3.55203
1087.73799	3.55115
1089.60986	3.55028
1091.48173	3.54941
1093.3536	3.54853
1095.22547	3.54766
1097.09734	3.54679
1098.96921	3.54591
1100.84108	3.54504
1102.71295	3.54417
1104.58482	3.54329
1106.45669	3.54242
1108.32856	3.54155
1110.20043	3.54067
1112.0723	3.5398
1113.94417	3.53893
1115.81604	3.53805
1117.68791	3.53718
1119.55978	3.53631
1121.43165	3.53571
1123.30352	3.53519
1125.17538	3.53468
1127.04725	3.53416
1128.91912	3.53365
1130.79099	3.53313
1132.66286	3.53262
1134.53473	3.5321
1136.4066	3.53159
1138.27847	3.53107
1140.15034	3.53056
1142.02221	3.53004
1143.89408	3.52953
1145.76595	3.52901
1147.63782	3.5285
1149.50969	3.52798
1151.38156	3.52747
1153.25343	3.52696
1155.1253	3.52644
1156.99717	3.52593
1158.86904	3.52541
1160.74091	3.5249
1162.61278	3.52438
1164.48465	3.52387
1166.35652	3.52335
1168.22839	3.52284
1170.10026	3.52232
1171.97212	3.52181
1173.84399	3.52129
1175.71586	3.52078
1177.58773	3.52026
1179.4596	3.51975
1181.33147	3.51923
1183.20334	3.51872
1185.07521	3.5182
1186.94708	3.51769
1188.81895	3.51717
1190.69082	3.51666
1192.56269	3.51615
1194.43456	3.51563
1196.30643	3.51512
