Energy (eV)	Extintion_Coefficent
5316.292144	0.0
1886.426244	0.0
847.524834	0.0
541.474200	0.0
397.817779	0.0
319.558544	0.0
275.845347	0.0
253.156769	0.0
235.803281	0.0
224.058290	0.0
218.206021	0.0843373493975905
216.589680	0.240963855421687
211.881209	0.3614457831325293
206.640331	0.4337349397590362
200.959497	0.4939759036144577
194.930712	0.5783132530120483
189.867577	0.6265060240963853
183.896898	0.6867469879518069
178.290285	0.7349397590361448
174.564817	0.8072289156626509
172.505055	0.903614457831326
169.015068	1.0120481927710845
167.562217	1.1566265060240966

