Wavelenght	Extintion_Coefficent_101557_PROC-572-231
231.640290	0.01740290619316944842
232.459246	0.01694337690465120422
233.294864	0.01621565153931718226
234.120898	0.01587106342657713248
235.390701	0.01487525969172458912
236.234849	0.01445404412846574421
237.516502	0.01372643647042898554
238.808889	0.01307545626291102027
239.672869	0.01276918187543036980
240.982278	0.01227145656894999305
242.321124	0.01142890773513504168
243.666474	0.01077792752761707641
244.567730	0.01043333941487702664
245.477393	0.01005043757687757930
246.392119	0.00970584946413753126
248.235156	0.00916992813969502198
249.640068	0.00867220283321464523
251.055587	0.00828941870251246292
252.489066	0.00786832084655088478
253.939008	0.00744722299058930316
254.916158	0.00714094860310865095
256.388575	0.00683479192292526204
257.384704	0.00652851753544461157
258.887769	0.00618404713000182682
261.420593	0.00583981213915356866
262.969337	0.00553365545897017974
264.536541	0.00522749877878679256
266.652062	0.00488314608064127284
268.799634	0.00457710710775514548
272.635961	0.00415648008098262398
274.320871	0.00385032340079923333
277.161959	0.00358271586046977203
280.653512	0.00320028485165937959
284.227254	0.00293279501862718159
286.663866	0.00270338349625985283
291.021550	0.00243601137052491812
296.166856	0.00213044322682784740
302.174613	0.00182499279042804691
307.720219	0.00159605209724977132
310.570060	0.00148158175066063352
316.425383	0.00132926850800115307
320.963845	0.00121503357600654532
325.640432	0.00102417119349313898
332.902341	0.00091028938339032806
340.492222	0.00083472129854690949
353.018600	0.00064480057441161295
361.568960	0.00053091876430879509
368.505935	0.00049342899013024577
377.832890	0.00037954718002742444
391.015847	0.00034264594233519505
399.145990	0.00026684244289725337
411.351145	0.00026801951586988976
419.044218	0.00023041203439407368
433.912243	0.00023170681466397683
452.915004	0.00015660955900961490
477.017553	0.00008174771794977609
515.404151	0.00004590584593292327
542.420469	0.00004743604079735300
577.348587	0.00001088792499691349
675.989160	0.00001488997310388623
773.128924	0.00002048106972391689
879.222642	0.00002030450877802542
1011.432764	0.00002265865472330167
1201.069920	0.00002513050796584468
1528.620183	0.00002795548310017756
2069.484674	0.00003066275093724716
