Wavelength	Index_n
1353.97813	3.40108
1357.68425	3.40036
1361.39036	3.39963
1365.09647	3.39889
1368.80258	3.39817
1372.5087	3.39747
1376.21481	3.39682
1379.92092	3.39623
1383.62704	3.39568
1387.33315	3.39518
1391.03926	3.3947
1394.74537	3.39422
1398.45149	3.39374
1402.1576	3.39325
1405.86371	3.39275
1409.56982	3.39226
1413.27594	3.39177
1416.98205	3.39128
1420.68816	3.39079
1424.39427	3.3903
1428.10039	3.38981
1431.8065	3.38932
1435.51261	3.38883
1439.21872	3.38834
1442.92484	3.38784
1446.63095	3.38735
1450.33706	3.38686
1454.04318	3.38637
1457.74929	3.38588
1461.4554	3.38539
1465.16151	3.3849
1468.86763	3.38441
1472.57374	3.38392
1476.27985	3.38343
1479.98596	3.38294
1483.69208	3.38245
1487.39819	3.38196
1491.1043	3.38147
1494.81041	3.38097
1498.51653	3.38048
1502.22264	3.37999
1505.92875	3.3795
1509.63486	3.37901
1513.34098	3.37852
1517.04709	3.37803
1520.7532	3.37754
1524.45932	3.37705
1528.16543	3.37657
1531.87154	3.37607
1535.57765	3.37557
1539.28377	3.37506
1542.98988	3.37458
1546.69599	3.37412
1550.4021	3.3737
1554.10822	3.37332
1557.81433	3.37297
1561.52044	3.37265
1565.22655	3.37234
1568.93267	3.37202
1572.63878	3.3717
1576.34489	3.37137
1580.051	3.37104
1583.75712	3.37072
1587.46323	3.3704
1591.16934	3.37007
1594.87546	3.36975
1598.58157	3.36942
1602.28768	3.3691
1605.99379	3.36877
1609.69991	3.36845
1613.40602	3.36812
1617.11213	3.3678
1620.81824	3.36747
1624.52436	3.36715
1628.23047	3.36682
1631.93658	3.3665
1635.64269	3.36617
1639.34881	3.36585
1643.05492	3.36552
1646.76103	3.3652
1650.46714	3.36487
1654.17326	3.36455
1657.87937	3.36422
1661.58548	3.3639
1665.2916	3.36358
1668.99771	3.36325
1672.70382	3.36293
1676.40993	3.3626
1680.11605	3.36228
1683.82216	3.36195
1687.52827	3.36163
1691.23438	3.3613
1694.9405	3.36098
1698.64661	3.36065
1702.35272	3.36033
1706.05883	3.36
1709.76495	3.35968
1713.47106	3.35935
1717.17717	3.35903
1720.88329	3.3587
1724.5894	3.35838
1728.29551	3.35805
1732.00162	3.35773
1735.70774	3.3574
1739.41385	3.35708
1743.11996	3.35676
1746.82607	3.35643
1750.53219	3.35611
1754.2383	3.35578
1757.94441	3.35546
1761.65052	3.35513
1765.35664	3.35481
1769.06275	3.35448
1772.76886	3.35416
1776.47497	3.35383
1780.18109	3.35351
1783.8872	3.35318
1787.59331	3.35286
1791.29943	3.35253
1795.00554	3.35221
1798.71165	3.35188
1802.41776	3.35156
1806.12388	3.35123
1809.82999	3.35091
1813.5361	3.35058
1817.24221	3.35026
1820.94833	3.34994
1824.65444	3.34961
1828.36055	3.34929
1832.06666	3.34896
1835.77278	3.34864
1839.47889	3.34831
1843.185	3.34799
1846.89111	3.34766
1850.59723	3.34734
1854.30334	3.34701
1858.00945	3.34669
1861.71557	3.34636
1865.42168	3.34604
1869.12779	3.34571
1872.8339	3.34539
1876.54002	3.34506
1880.24613	3.34474
1883.95224	3.34441
1887.65835	3.34409
1891.36447	3.34376
1895.07058	3.34344
1898.77669	3.34312
1902.4828	3.34279
1906.18892	3.34247
1909.89503	3.34214
1913.60114	3.34182
1917.30725	3.34149
1921.01337	3.34117
1924.71948	3.34084
1928.42559	3.34052
1932.13171	3.34019
1935.83782	3.33987
1939.54393	3.33954
1943.25004	3.33922
1946.95616	3.33889
1950.66227	3.33857
1954.36838	3.33824
1958.07449	3.33792
1961.78061	3.33759
1965.48672	3.33727
1969.19283	3.33694
1972.89894	3.33662
1976.60506	3.3363
1980.31117	3.33597
1984.01728	3.33565
1987.72339	3.33532
1991.42951	3.335
1995.13562	3.33467
1998.84173	3.33435
2002.54785	3.33402
2006.25396	3.3337
2009.96007	3.33337
2013.66618	3.33305
2017.3723	3.33272
2021.07841	3.3324
2024.78452	3.33207
2028.49063	3.33175
2032.19675	3.33142
2035.90286	3.3311
2039.60897	3.33077
2043.31508	3.33045
2047.0212	3.33013
2050.72731	3.3298
2054.43342	3.32948
2058.13953	3.32915
