Energy (eV)	Refractive_Index_101063_1134699
651.404611	2.1107531864114155
587.302204	2.1086109277408216
513.341341	2.1105341999695324
489.296886	2.112536815111969
472.694977	2.1166055197278224
454.697467	2.1227212715177983
434.600579	2.1267741075509066
412.105986	2.1369744325394815
391.829176	2.1512815467424975
375.976400	2.167651576702382
363.707716	2.173764154775809
349.274495	2.1860242218047023
335.941687	2.1962308942263755
325.478705	2.2043936931904744
318.050656	2.2125691870207693
309.229152	2.222788554308638
301.538683	2.2350644899202767
293.378556	2.2452838572081455
284.736344	2.2657638500990203
280.233238	2.280109048900625
274.634556	2.300598562941147
268.683026	2.3231509927385368
264.259558	2.345690727669731
256.705182	2.3702838572081455
249.486550	2.4010244757020263
245.285476	2.425623952673539
241.125527	2.448176382470929
237.406752	2.474832427766212
234.607721	2.495340984106028
231.397772	2.5240567714416295
228.583863	2.552778906210329
225.813598	2.5835512618697
223.112122	2.622537195957955
221.932441	2.6410050525567463
219.035039	2.6799878129284522
216.492980	2.7210271416239276
214.283091	2.7600162494287312
211.312132	2.7948890468694465
209.725384	2.8112971614279187
207.901733	2.82154191844818
205.097215	2.829720585995024
202.121598	2.8337892906108775
200.422316	2.82350010155893
198.515280	2.8132077387904335
