"Wavelength (nm)"	Reflectance
200	0.3818366
201	0.4219785
202	0.4566603
203	0.4861669
204	0.5108974
205	0.5312645
206	0.5476711
207	0.5604745
208	0.5699844
209	0.5764578
210	0.5801014
211	0.5810645
212	0.5794578
213	0.5753562
214	0.5687802
215	0.5597184
216	0.5481337
217	0.5339175
218	0.516977
219	0.4971581
220	0.4742986
221	0.4482408
222	0.4188588
223	0.3860987
224	0.3499495
225	0.3107292
226	0.2605906
227	0.2002689
228	0.1401959
229	0.0872049
230	0.049721
231	0.0353511
232	0.0475106
233	0.0837529
234	0.13725
235	0.2000821
236	0.2655736
237	0.3293168
238	0.3891475
239	0.4437372
240	0.4927255
241	0.5365173
242	0.5751853
243	0.6089149
244	0.6381645
245	0.6632263
246	0.6844522
247	0.7022934
248	0.7169496
249	0.7211107
250	0.7233759
251	0.7237491
252	0.7224599
253	0.7195162
254	0.7149992
255	0.7088989
256	0.7011934
257	0.6919501
258	0.6809395
259	0.6682389
260	0.6535601
261	0.6366324
262	0.6157717
263	0.5917952
264	0.5643688
265	0.5333598
266	0.4979499
267	0.4587734
268	0.4156301
269	0.370333
270	0.3246549
271	0.2816717
272	0.2461345
273	0.2218531
274	0.2120132
275	0.2172877
276	0.2346984
277	0.2592797
278	0.289004
279	0.3212956
280	0.3544707
281	0.3869074
282	0.4179022
283	0.4470832
284	0.4740814
285	0.4985523
286	0.5201214
287	0.5390535
288	0.5540691
289	0.5661906
290	0.5752644
291	0.5823825
292	0.5878458
293	0.5922398
294	0.5957884
295	0.598667
296	0.6011261
297	0.6030685
298	0.6046284
299	0.6058398
300	0.6065976
301	0.6069246
302	0.606849
303	0.6064003
304	0.6054968
305	0.6041655
306	0.6023811
307	0.6001571
308	0.5975056
309	0.5944329
310	0.5908644
311	0.5870047
312	0.5827981
313	0.5782574
314	0.5733474
315	0.5680722
316	0.5624155
317	0.5563683
318	0.5499406
319	0.5430913
320	0.5358163
321	0.5280691
322	0.5198519
323	0.5111406
324	0.5020035
325	0.4924024
326	0.4822551
327	0.4716249
328	0.4605211
329	0.4488886
330	0.4367375
331	0.424099
332	0.4109594
333	0.3973208
334	0.3832023
335	0.368645
336	0.3536969
337	0.3382813
338	0.3224543
339	0.3063221
340	0.2899225
341	0.2732987
342	0.256497
343	0.2396026
344	0.22272
345	0.2059421
346	0.1893718
347	0.1731345
348	0.1573648
349	0.1421973
350	0.1277633
351	0.1142292
352	0.1017737
353	0.0906056
354	0.0808503
355	0.0728767
356	0.0665734
357	0.0620837
358	0.059572
359	0.0590485
360	0.0606721
361	0.0644097
362	0.0702946
363	0.0781399
364	0.0876921
365	0.0987587
366	0.1109052
367	0.12395
368	0.1373948
369	0.1511458
370	0.1648675
371	0.1785467
372	0.1920046
373	0.2050625
374	0.2175032
375	0.2293887
376	0.240773
377	0.2515276
378	0.2618311
379	0.2716861
380	0.2810684
381	0.2899851
382	0.2985077
383	0.3066826
384	0.3145035
385	0.3219655
386	0.3291766
387	0.3360361
388	0.3426133
389	0.3488999
390	0.3548661
391	0.3606317
392	0.3660719
393	0.3713155
394	0.3763121
395	0.3810328
396	0.3856048
397	0.3898902
398	0.3939712
399	0.3978263
400	0.4014291
401	0.4049532
402	0.4082254
403	0.4113116
404	0.4142281
405	0.4169124
406	0.4193809
407	0.4216334
408	0.4237037
409	0.4257151
410	0.4275215
411	0.4291828
412	0.430711
413	0.4320471
414	0.4331232
415	0.4339966
416	0.4347179
417	0.4353777
418	0.4358962
419	0.4362885
420	0.4366322
421	0.4368377
422	0.436937
423	0.4369714
424	0.4368738
425	0.4366567
426	0.43633
427	0.4358823
428	0.43535
429	0.4347374
430	0.4340088
431	0.4332017
432	0.4323165
433	0.4313206
434	0.4302515
435	0.4291145
436	0.4278766
437	0.4265523
438	0.4251405
439	0.423625
440	0.4220307
441	0.420382
442	0.4186371
443	0.4168074
444	0.4149204
445	0.4129381
446	0.4108637
447	0.4087636
448	0.4065784
449	0.4043093
450	0.4019424
451	0.3994835
452	0.3969368
453	0.394358
454	0.3917492
455	0.3890626
456	0.3863097
457	0.383526
458	0.3806683
459	0.3777377
460	0.37478
461	0.371763
462	0.3686774
463	0.3655371
464	0.3623514
465	0.359102
466	0.3557904
467	0.3523077
468	0.3487455
469	0.3451154
470	0.3414806
471	0.3378865
472	0.3342356
473	0.3305294
474	0.3265679
475	0.3224881
476	0.3183435
477	0.3141896
478	0.3102891
479	0.306343
480	0.302353
481	0.2982557
482	0.2940362
483	0.2897708
484	0.2854613
485	0.2811854
486	0.2769035
487	0.2725855
488	0.2682331
489	0.2638776
490	0.259496
491	0.2550868
492	0.2506521
493	0.246191
494	0.2417074
495	0.2372035
496	0.2326882
497	0.2283835
498	0.2240683
499	0.2197448
500	0.2154076
501	0.210981
502	0.2065503
503	0.2021181
504	0.1976905
505	0.1934591
506	0.1892356
507	0.1850221
508	0.180821
509	0.1764068
510	0.1719783
511	0.1675663
512	0.1631735
513	0.1589283
514	0.1547645
515	0.1506284
516	0.1465222
