Wavelenght	Reflectance
436.000000	 9.302000  
434.000000	 13.814000 
432.000000	 24.585000 
430.000000	 34.010000 
428.000000	 37.974999 
426.000000	 35.396000 
424.000000	 26.550000 
422.000000	 15.073000 
420.000000	 10.720000 
418.000000	 18.778000 
416.000000	 32.170000 
414.000000	 41.295000 
412.000000	 42.770000 
410.000000	 35.970000 
408.000000	 22.498000 
406.000000	 13.111000 
404.000000	 21.005000 
402.000000	 37.082000 
400.000000	 46.922999 

