"Wavelength (nm)"	Reflectance
200	0.5577296
201	0.5497731
202	0.5375939
203	0.5210807
204	0.5000361
205	0.4742498
206	0.443478
207	0.4075598
208	0.3664479
209	0.3204043
210	0.2701558
211	0.217111
212	0.1636762
213	0.1133506
214	0.0704955
215	0.0397166
216	0.0247308
217	0.0272109
218	0.04628
219	0.078872
220	0.1207854
221	0.1677751
222	0.2162685
223	0.2636245
224	0.3080966
225	0.348685
226	0.3972359
227	0.4478939
228	0.4897432
229	0.5233716
230	0.5497089
231	0.5696679
232	0.5840124
233	0.5933564
234	0.5983418
235	0.5993055
236	0.5964461
237	0.5899309
238	0.5799341
239	0.5660179
240	0.5478421
241	0.5250888
242	0.4969111
243	0.4625393
244	0.4214035
245	0.3731388
246	0.3191068
247	0.2630866
248	0.2126386
249	0.173381
250	0.1552591
251	0.1621492
252	0.1922947
253	0.2390132
254	0.294484
255	0.3521987
256	0.4079643
257	0.4597857
258	0.5065051
259	0.5483293
260	0.5852925
261	0.617585
262	0.6445276
263	0.6675725
264	0.6874098
265	0.7042462
266	0.7179181
267	0.7291307
268	0.7377192
269	0.7442514
270	0.7485364
271	0.750543
272	0.7506405
273	0.7486541
274	0.7446343
275	0.7386608
276	0.7311744
277	0.722505
278	0.7121498
279	0.7000552
280	0.686225
281	0.6705098
282	0.652777
283	0.6328926
284	0.6105995
285	0.5854145
286	0.5566172
287	0.5241697
288	0.4868348
289	0.4456358
290	0.4010003
291	0.3544944
292	0.3076769
293	0.2619135
294	0.2186241
295	0.1792697
296	0.1452762
297	0.117624
298	0.0970484
299	0.0841034
300	0.0786747
301	0.0803633
302	0.0884447
303	0.1019504
304	0.119742
305	0.1407643
306	0.164023
307	0.1886369
308	0.2139215
309	0.2393369
310	0.2643004
311	0.2854631
312	0.3060101
313	0.3258154
314	0.3447014
315	0.3626778
316	0.3797956
317	0.3959778
318	0.4112537
319	0.4256108
320	0.4390946
321	0.4516818
322	0.4634034
323	0.4743394
324	0.4845149
325	0.4939349
326	0.5025685
327	0.510513
328	0.5178174
329	0.5244775
330	0.5305269
331	0.5360138
332	0.5409357
333	0.545301
334	0.5491357
335	0.552497
336	0.5554099
337	0.5578474
338	0.5598193
339	0.5613439
340	0.5624697
341	0.5632431
342	0.5636003
343	0.5635778
344	0.5632123
345	0.5625125
346	0.5614787
347	0.5601318
348	0.558479
349	0.5565193
350	0.5542595
351	0.5516803
352	0.54883
353	0.5457392
354	0.5423255
355	0.5387036
356	0.5346745
357	0.5301872
358	0.5251795
359	0.5193498
360	0.5127092
361	0.5050367
362	0.4962867
363	0.4863478
364	0.4751027
365	0.462563
366	0.448633
367	0.4334285
368	0.4171584
369	0.4000738
370	0.3819485
371	0.3632063
372	0.343655
373	0.323735
374	0.3034759
375	0.2830633
376	0.262703
377	0.2424458
378	0.2227286
379	0.203489
380	0.1848631
381	0.1669915
382	0.1497477
383	0.1333225
384	0.1179916
385	0.1034548
386	0.0901593
387	0.0778348
388	0.0667123
389	0.0567998
390	0.0480554
391	0.0406506
392	0.0344287
393	0.0294749
394	0.0257405
395	0.0231919
396	0.0218448
397	0.0215896
398	0.0223996
399	0.0241962
400	0.0269122
401	0.0305421
402	0.0349733
403	0.0401327
404	0.045943
405	0.052335
406	0.0591659
407	0.0664138
408	0.0740501
409	0.0821106
410	0.0904334
411	0.098993
412	0.1077472
413	0.1166151
414	0.1249931
415	0.1331236
416	0.1412454
417	0.1493559
418	0.1574138
419	0.1654158
420	0.1734318
421	0.1813441
422	0.1891705
423	0.1969444
424	0.204579
425	0.2120062
426	0.2191939
427	0.2262192
428	0.2331176
429	0.2398892
