wl	Reflectancia
636.000000	 8.554000  
634.000000	 8.217000  
632.000000	 7.915000  
630.000000	 7.643999  
628.000000	 7.399000  
626.000000	 7.181999  
624.000000	 7.010000  
622.000000	 6.850000  
620.000000	 6.752000  
618.000000	 6.668000  
616.000000	 6.636000  
614.000000	 6.637000  
612.000000	 6.673000  
610.000000	 6.766999  
608.000000	 6.890000  
606.000000	 7.073000  
604.000000	 7.294000  
602.000000	 7.558000  
600.000000	 7.861000  
598.000000	 8.212999  
596.000000	 8.604000  
594.000000	 9.027000  
592.000000	 9.500000  
590.000000	 9.978000  
588.000000	 10.480000 
586.000000	 10.994000 
584.000000	 11.496000 
582.000000	 12.034000 
580.000000	 12.575000 
578.000000	 13.103000 
576.000000	 13.658000 
574.000000	 14.196000 
572.000000	 14.757000 
570.000000	 15.292000 
568.000000	 15.842000 
566.000000	 16.392000 
564.000000	 16.914000 
562.000000	 17.427000 
560.000000	 17.901000 
558.000000	 18.425000 
556.000000	 18.803000 
554.000000	 19.228000 
552.000000	 19.621000 
550.000000	 19.968000 
548.000000	 20.281000 
546.000000	 20.552000 
544.000000	 20.826000 
542.000000	 21.104000 
540.000000	 21.261000 
538.000000	 21.338000 
536.000000	 21.393000 
534.000000	 21.347000 
532.000000	 21.285000 
530.000000	 21.155000 
528.000000	 20.949000 
526.000000	 20.702000 
524.000000	 20.390000 
522.000000	 20.008000 
520.000000	 19.589000 
518.000000	 19.098000 
516.000000	 18.564000 
514.000000	 17.994000 
512.000000	 17.357000 
510.000000	 16.687000 
508.000000	 15.994000 
506.000000	 15.270000 
504.000000	 14.528000 
502.000000	 13.771000 
500.000000	 12.999000 
498.000000	 12.229000 
496.000000	 11.480000 
494.000000	 10.762000 
492.000000	 10.071000 
490.000000	 9.425000  
488.000000	 8.831000  
486.000000	 8.322000  
484.000000	 7.864000  
482.000000	 7.546000  
480.000000	 7.305000  
478.000000	 7.181999  
476.000000	 7.193000  
474.000000	 7.263999  
472.000000	 7.469000  
470.000000	 7.820000  
468.000000	 8.276000  
466.000000	 8.823000  
464.000000	 9.504000  
462.000000	 10.265000 
460.000000	 11.102000 
458.000000	 12.006000 
456.000000	 12.946000 
454.000000	 13.903000 
452.000000	 14.855000 
450.000000	 15.794000 
448.000000	 16.710000 
446.000000	 17.535000 
444.000000	 18.294000 
442.000000	 18.888000 
440.000000	 19.403000 
438.000000	 19.809000 
436.000000	 20.050000 
434.000000	 20.213000 
432.000000	 20.162000 
430.000000	 20.040000 
428.000000	 19.739000 
426.000000	 19.203000 
424.000000	 18.641000 
422.000000	 17.909000 
420.000000	 17.220000 
418.000000	 16.225000 
416.000000	 15.203000 
414.000000	 14.069000 
412.000000	 12.998000 
410.000000	 11.917000 
408.000000	 10.926000 
406.000000	 10.064000 
404.000000	 9.374000  
402.000000	 8.926000  
400.000000	 8.738999  
398.000000	 8.823000  
396.000000	 9.189000  
394.000000	 9.780999  
392.000000	 10.633000 
390.000000	 11.627000 
388.000000	 12.702000 
386.000000	 13.785000 
384.000000	 14.871000 
382.000000	 15.928000 
380.000000	 16.098000 
378.000000	 16.506000 
