"Wavelength (nm)"	Reflectance
200	0.5721583
201	0.5805314
202	0.585746
203	0.5879947
204	0.5874065
205	0.5840717
206	0.5780222
207	0.5692613
208	0.55774
209	0.5433907
210	0.5261147
211	0.5057729
212	0.4822384
213	0.4554016
214	0.4251521
215	0.3914545
216	0.3544024
217	0.3141894
218	0.2713694
219	0.2267963
220	0.1818149
221	0.1383208
222	0.0987301
223	0.0657744
224	0.0420455
225	0.029571
226	0.0321809
227	0.0596434
228	0.1075284
229	0.1675656
230	0.2319961
231	0.2952134
232	0.353938
233	0.4066372
234	0.4530725
235	0.493583
236	0.5286923
237	0.5591033
238	0.5856888
239	0.6087417
240	0.6286807
241	0.6460723
242	0.6609657
243	0.6734037
244	0.6835438
245	0.6913347
246	0.6968406
247	0.7001512
248	0.7010973
249	0.6936003
250	0.6839982
251	0.6720781
252	0.6578953
253	0.64126
254	0.622081
255	0.6001779
256	0.5753836
257	0.5476759
258	0.5167638
259	0.4828288
260	0.4458412
261	0.4062111
262	0.3630366
263	0.3196702
264	0.2788493
265	0.2446921
266	0.2207797
267	0.2113068
268	0.217251
269	0.2382
270	0.2702813
271	0.3089144
272	0.3505353
273	0.3918918
274	0.4308802
275	0.4666474
276	0.4975196
277	0.5235197
278	0.5467093
279	0.5672611
280	0.5856137
281	0.6017882
282	0.6160852
283	0.6287538
284	0.6398418
285	0.6492501
286	0.6567403
287	0.6625615
288	0.6656846
289	0.6669125
290	0.6660978
291	0.6640625
292	0.6610533
293	0.6574667
294	0.6534427
295	0.6490926
296	0.6445984
297	0.6398414
298	0.6348693
299	0.6297144
300	0.624243
301	0.6184488
302	0.6123314
303	0.6059101
304	0.5990754
305	0.5918348
306	0.5841385
307	0.5759919
308	0.5673869
309	0.5583118
310	0.5486952
311	0.5393953
312	0.5296711
313	0.5195391
314	0.5089778
315	0.4979779
316	0.4864969
317	0.4745445
318	0.462132
319	0.4492184
320	0.4357996
321	0.4218399
322	0.4073588
323	0.3923256
324	0.3768618
325	0.3609538
326	0.3445481
327	0.3277493
328	0.3106106
329	0.2931263
330	0.2753725
331	0.2574544
332	0.2394458
333	0.2214455
334	0.203574
335	0.1859716
336	0.1688013
337	0.15211
338	0.1360859
339	0.120954
340	0.1068548
341	0.0939347
342	0.0823469
343	0.0722429
344	0.0637683
345	0.0570378
346	0.0521437
347	0.0491642
348	0.0481478
349	0.0491114
350	0.0520602
351	0.0569529
352	0.0637884
353	0.0725266
354	0.0830619
355	0.0950142
356	0.1083893
357	0.1231587
358	0.1391804
359	0.1561212
360	0.1738204
361	0.1919343
362	0.2103165
363	0.228528
364	0.2462441
365	0.2633542
366	0.2794931
367	0.2947213
368	0.3087442
369	0.321787
370	0.3337058
371	0.3447566
372	0.3548963
373	0.364155
374	0.372442
375	0.379938
376	0.3867922
377	0.3929357
378	0.3986442
379	0.4039252
380	0.40879
381	0.4132753
382	0.4174165
383	0.4212866
384	0.4249318
385	0.4282669
386	0.431485
387	0.4344138
388	0.4371637
389	0.4397199
390	0.4420303
391	0.4442589
392	0.4462297
393	0.4480933
394	0.4497879
395	0.4512788
396	0.4527203
397	0.4539378
398	0.4550406
399	0.455994
400	0.4567515
401	0.4574712
402	0.4579928
403	0.4583939
404	0.4586904
405	0.4588031
406	0.4587816
407	0.4585957
408	0.4582663
409	0.4578987
410	0.4573656
411	0.4567237
412	0.4559828
413	0.4550845
414	0.4540975
415	0.453001
416	0.4517789
417	0.450529
418	0.4491627
419	0.4476916
420	0.4461813
421	0.4445545
422	0.4428386
423	0.4410694
424	0.4391874
425	0.4372219
426	0.4351905
427	0.4330555
428	0.4308486
429	0.4285731
430	0.4261973
431	0.4237573
432	0.421253
433	0.4186523
434	0.4160116
435	0.4133363
436	0.4105737
437	0.4077094
438	0.4047351
439	0.4016692
440	0.3985473
441	0.3954029
442	0.3921744
443	0.3888673
444	0.385492
445	0.382033
446	0.3784951
447	0.3749969
448	0.3714261
449	0.367784
450	0.3640056
451	0.3601348
452	0.3561886
453	0.3522518
454	0.3483248
455	0.3443339
456	0.3402911
457	0.3362321
458	0.3321141
459	0.3279387
460	0.323755
461	0.3195289
462	0.3152511
463	0.3109396
464	0.3066065
465	0.3022284
466	0.2978074
467	0.2931687
468	0.288465
469	0.2837154
470	0.2790045
471	0.2743908
472	0.2697443
473	0.2650673
474	0.2600688
475	0.2549557
476	0.2498075
477	0.2446984
478	0.2399716
479	0.2352293
480	0.2304741
