Wavelenght	Extintion_Coefficent_101063_1134699
651.278863	0.0790433350862695
604.255119	0.0790120326546966
545.207387	0.0789650790073372
505.675734	0.0768991185235268
471.489205	0.0768615556056394
446.343114	0.0768302531740665
418.446670	0.073748528785716
401.387693	0.0737219217188791
385.665133	0.0767379110009265
374.448921	0.0787459619863271
363.866669	0.0848108081035735
351.635857	0.0817431698094308
339.510482	0.0837449603085168
325.007122	0.084724726416748
310.717070	0.0877297598477449
295.564106	0.0876875015651215
286.653425	0.0886735281596675
276.194057	0.0876295920667117
268.071250	0.0855683269476373
265.324150	0.0896141662284327
260.280323	0.0966947762502191
255.452475	0.10478958505496705
249.504329	0.11287813337340047
243.516917	0.12400927804071821
240.099963	0.13312141587158494
236.986502	0.14020359101495006
230.322621	0.15842943179826208
226.467555	0.17362363208374026
224.261329	0.18375309894072572
220.699053	0.19691890166028092
218.225121	0.2070483685172664
215.972475	0.2151494378083289
214.863502	0.225285165151629
212.679375	0.2394714271404602
210.804368	0.2516308566849473
208.962132	0.269875478927203
207.151817	0.2911626975183432
204.369558	0.3205572458868605
203.129451	0.3367766008063506
201.904304	0.3499533593769564
200.693846	0.3661727142964465
199.497816	0.3783352740840908
198.551207	0.3884710014273909
