"Wavelength (nm)"	Reflectance
602	0.3871336
603	0.3741399
604	0.3607828
605	0.3470816
606	0.3330379
607	0.3187004
608	0.3041041
609	0.2892904
610	0.2743092
611	0.2592433
612	0.2441341
613	0.229056
614	0.2140954
615	0.1993505
616	0.1848875
617	0.1708407
618	0.1573251
619	0.144461
620	0.132369
621	0.1214074
622	0.1114108
623	0.1024835
624	0.0947233
625	0.0882126
626	0.0830247
627	0.0792079
628	0.0767899
629	0.0757825
630	0.0761814
631	0.0779596
632	0.0810716
633	0.0854571
634	0.09104
635	0.0977323
636	0.1054649
637	0.1141136
638	0.123571
639	0.13373
640	0.1444789
641	0.1556849
642	0.1672851
643	0.1791814
644	0.1912927
645	0.2035473
646	0.2159177
647	0.2283091
648	0.2406588
649	0.252919
650	0.2650505
651	0.2769801
652	0.2887149
653	0.3002378
654	0.3115296
655	0.3225652
656	0.3333319
657	0.3438312
658	0.3540441
659	0.3639655
660	0.3735839
661	0.3829278
662	0.3919739
663	0.4007234
664	0.409181
665	0.4173471
666	0.4252002
667	0.4327745
668	0.4400748
669	0.4471027
670	0.4538634
671	0.4603629
672	0.4666062
673	0.4725987
674	0.478347
675	0.4838602
676	0.4891393
677	0.4941896
678	0.4990222
679	0.5036418
680	0.5080483
681	0.5122597
682	0.5162725
683	0.5200871
684	0.5237066
685	0.5271353
686	0.530369
687	0.5334216
688	0.5362968
689	0.5389942
690	0.5414888
691	0.5438207
692	0.545993
693	0.5480086
694	0.5498699
695	0.5515804
696	0.553143
697	0.5545583
698	0.5558291
699	0.5569589
700	0.5579501
701	0.5588076
702	0.5595328
703	0.5601251
704	0.5605861
705	0.5609182
706	0.5611229
707	0.5612008
708	0.5611533
709	0.5609764
710	0.560672
711	0.5602454
712	0.5596976
713	0.5590384
714	0.5582697
715	0.557382
716	0.5563758
717	0.555256
718	0.5540264
719	0.5526798
720	0.5512164
721	0.5496317
722	0.5479255
723	0.5461028
724	0.5441636
725	0.5421081
726	0.5399309
727	0.537637
728	0.5352267
729	0.5326995
730	0.5300613
731	0.5273135
732	0.5244483
733	0.5214655
734	0.5183663
735	0.5151509
736	0.5118168
737	0.5083637
738	0.5047909
739	0.5010879
740	0.4972647
741	0.4933212
742	0.4892567
743	0.4850702
744	0.4807617
745	0.4763313
746	0.4717787
747	0.4671032
748	0.4623004
749	0.4573749
750	0.4523265
751	0.4471552
752	0.4418679
753	0.4364621
754	0.4309334
755	0.425282
756	0.4195086
757	0.4136241
758	0.4076184
759	0.4014923
760	0.3952462
761	0.3888965
762	0.3824312
763	0.37585
764	0.3691544
765	0.3623463
766	0.3554307
767	0.3484081
768	0.3412793
769	0.334047
770	0.3267143
771	0.3192589
772	0.3117094
773	0.3040704
774	0.2963461
775	0.2885408
776	0.2807002
777	0.2727912
778	0.2648198
779	0.2567923
780	0.2487176
781	0.2406069
782	0.2324615
783	0.2242898
784	0.2161004
785	0.2079018
786	0.1997027
787	0.1915154
788	0.1833506
789	0.1752195
790	0.1671348
791	0.1591097
792	0.1511543
793	0.1432821
794	0.1355066
795	0.1278412
796	0.1202998
797	0.1128975
798	0.1056488
799	0.098568
800	0.0916694
801	0.0849658
802	0.0784739
803	0.0722081
804	0.0661819
805	0.0604088
806	0.0549029
807	0.0496742
808	0.0447348
809	0.0400955
810	0.0357663
811	0.0317657
812	0.0280907
813	0.0247482
814	0.0217442
815	0.0190835
816	0.0167701
817	0.0148066
818	0.0131936
819	0.0119308
820	0.0110171
821	0.010449
822	0.0102255
823	0.0103412
824	0.0107901
825	0.0115651
826	0.0126583
827	0.0140619
828	0.0157683
829	0.0177654
830	0.0200419
831	0.0225794
832	0.0253712
833	0.0284049
834	0.0316677
835	0.0351466
836	0.0388287
837	0.0427006
838	0.046749
839	0.0509613
840	0.0553243
841	0.059837
842	0.0644757
843	0.0692281
844	0.0740823
845	0.0790266
846	0.0840497
847	0.0891408
848	0.0942894
849	0.0994855
850	0.1047196
851	0.1099825
852	0.1152656
853	0.1205604
854	0.1258597
855	0.1311559
856	0.1364421
857	0.1417118
858	0.146959
859	0.152178
860	0.1573635
861	0.1624975
862	0.1675887
863	0.172633
864	0.1776267
865	0.1825661
866	0.187448
867	0.1922695
868	0.1970278
869	0.2017202
870	0.2063451
871	0.210912
872	0.215407
873	0.2198283
874	0.2241747
875	0.2284448
876	0.2326375
877	0.236752
878	0.2407874
879	0.244743
880	0.2486183
881	0.252403
