Energy (eV)	DeltaR_10_-6
1.7832317073170731	0.30641821946169845
1.7871951219512194	0.05590062111801153
1.7951219512195122	-0.19461697722567362
1.8089939024390245	-0.33126293995859335
1.8327743902439024	-0.42236024844720443
1.8486280487804878	-0.4679089026915113
1.8644817073170732	-0.5362318840579716
1.886280487804878	-0.6273291925465845
1.9120426829268293	-0.650103519668737
1.941768292682927	-0.6728778467908914
1.9576219512195123	-0.6273291925465845
1.9833841463414634	-0.4679089026915113
2.001219512195122	-0.308488612836439
2.015091463414634	-0.14906832298136674
2.0269817073170735	-0.012422360248447895
2.0408536585365855	0.23809523809523725
2.0527439024390244	0.42028985507246386
2.06265243902439	0.5569358178053836
2.0745426829268294	0.7391304347826075
2.084451219512195	0.8985507246376816
2.0943597560975613	1.0579710144927539
2.10625	1.1946169772256727
2.1280487804878048	1.4906832298136647
2.1439024390243904	1.6045548654244302
2.157774390243903	1.695652173913043
2.173628048780488	1.74120082815735
2.189481707317073	1.7639751552795033
2.2053353658536587	1.7184265010351965
2.221189024390244	1.6728778467908896
2.2370426829268295	1.5590062111801233
2.2509146341463415	1.4906832298136647
2.2628048780487804	1.3995859213250519
2.278658536585366	1.2857142857142856
2.300457317073171	1.0807453416149064
2.3242378048780488	0.8302277432712213
2.3420731707317075	0.6480331262939965
2.3579268292682927	0.46583850931676984
2.3777439024390246	0.23809523809523725
2.395579268292683	0.05590062111801153
2.4114329268292685	-0.14906832298136674
2.4471036585365855	-0.650103519668737
2.466920731707317	-0.946169772256729
2.4807926829268294	-1.1739130434782616
2.494664634146342	-1.4016563146997925
2.5065548780487807	-1.6521739130434785
2.522408536585366	-1.9482401656314714
2.5402439024390246	-2.312629399585921
2.554115853658537	-2.563146997929607
2.566006097560976	-2.8136645962732914
2.579878048780488	-3.0641821946169774
2.59375	-3.2236024844720497
2.6036585365853657	-3.383022774327122
2.617530487804878	-3.4513457556935823
2.629420731707317	-3.4513457556935823
2.6413109756097564	-3.3602484472049703
2.6532012195121952	-3.1552795031055894
2.663109756097561	-2.950310559006212
2.6690548780487804	-2.699792960662526
2.6750000000000003	-2.4720496894409933
2.6809451219512197	-2.267080745341614
2.6888719512195123	-1.9254658385093162
2.692835365853659	-1.674948240165632
2.6987804878048784	-1.333333333333334
2.7027439024390247	-1.0372670807453428
2.704725609756098	-0.5817805383022785
2.7166158536585368	-0.19461697722567362
2.720579268292683	0.2836438923395441
2.7285060975609756	0.8074534161490687
2.736432926829268	1.3312629399585916
2.740396341463415	1.7639751552795033
2.7463414634146344	2.333333333333333
2.754268292682927	3.016563146997929
2.764176829268293	3.4492753623188404
2.7681402439024394	3.813664596273292
2.776067073170732	4.2691511387163565
2.7839939024390246	4.565217391304348
2.789939024390244	4.838509316770186
2.7978658536585366	5.066252587991718
2.805792682926829	5.248447204968944
2.8157012195121953	5.385093167701863
2.8275914634146346	5.339544513457557
2.84344512195122	5.157349896480332
2.8553353658536587	4.884057971014492
2.867225609756098	4.496894409937888
2.879115853658537	4.15527950310559
2.8890243902439026	3.745341614906832
2.8989329268292687	3.335403726708074
2.904878048780488	3.153209109730849
2.9108231707317076	2.9026915113871636
2.916768292682927	2.674948240165631
2.9266768292682928	2.37888198757764
2.930640243902439	2.1283643892339548
2.938567073170732	1.8095238095238093
2.948475609756098	1.5134575569358182
2.9564024390243904	1.2401656314699787
2.9663109756097565	0.8757763975155273
2.974237804878049	0.6024844720496896
2.988109756097561	0.16977225672877871
2.9960365853658537	-0.08074534161490643
