Energy(eV)	k
1.0368421052631578	0
1.163157894736842	0
1.3421052631578947	0
1.5	0
1.6736842105263157	0
1.8157894736842106	0
1.905263157894737	0
2.0736842105263156	0
2.1789473684210527	0
2.305263157894737	0
2.4105263157894736	0
2.5157894736842104	0
2.642105263157895	0
2.7473684210526317	0
2.8157894736842106	0.0031847133757962887
2.863157894736842	0.009554140127388644
2.9210526315789473	0.009554140127388644
2.963157894736842	0.01273885350318471
3.026315789473684	0.022292993630573354
3.0631578947368423	0.04140127388535042
3.1052631578947367	0.0573248407643312
3.136842105263158	0.08280254777070062
3.1578947368421053	0.11464968152866262
3.1736842105263157	0.14012738853503204
3.1894736842105265	0.16242038216560517
3.2	0.19108280254777088
3.210526315789474	0.22292993630573266
3.2157894736842105	0.24203821656050972
3.2210526315789476	0.26433121019108285
3.2473684210526317	0.2993630573248409
3.268421052631579	0.3280254777070064
3.3	0.3566878980891721
3.3473684210526318	0.3726114649681529
3.3947368421052633	0.3885350318471339
3.4526315789473685	0.40764331210191096
3.5157894736842104	0.42356687898089174
3.573684210526316	0.4331210191082804
3.6315789473684212	0.4426751592356688
3.694736842105263	0.4554140127388535
3.7578947368421054	0.4681528662420382
3.805263157894737	0.4745222929936306
3.8684210526315788	0.4840764331210192
3.9105263157894736	0.49363057324840764
3.968421052631579	0.5031847133757963
4.026315789473684	0.5095541401273886
4.1	0.5222929936305734
4.178947368421053	0.5350318471337581
4.2368421052631575	0.5414012738853504
4.3052631578947365	0.5477707006369428
4.363157894736842	0.5541401273885351
4.431578947368421	0.5636942675159238
4.51578947368421	0.5732484076433122
4.578947368421052	0.5828025477707008
4.63157894736842	0.5891719745222932
4.694736842105263	0.5955414012738856
4.757894736842105	0.605095541401274
4.81578947368421	0.6082802547770703
4.873684210526315	0.6114649681528663
4.936842105263158	0.621019108280255

