Wavelength	n_Cardona	
219.09753	2.32861
219.07818	2.32829
219.05882	2.32798
219.03948	2.3277
219.02013	2.32743
219.00079	2.32719
218.98145	2.32696
218.96212	2.32675
218.94279	2.32656
218.92346	2.32639
218.90414	2.32624
218.88482	2.32611
218.8655	2.326
218.84619	2.3259
218.82688	2.32583
218.80757	2.32577
218.78827	2.32574
218.76897	2.32572
218.74967	2.32572
218.73038	2.32574
218.71109	2.32578
218.69141	2.32584
218.67213	2.32591
218.65285	2.32601
218.63358	2.32613
218.6143	2.32627
218.59503	2.32643
218.57577	2.32662
218.5565	2.32682
218.53725	2.32705
218.51799	2.3273
218.49874	2.32757
218.47949	2.32786
218.46024	2.32817
218.441	2.3285
218.42176	2.32886
218.40253	2.32923
218.38329	2.32961
218.36407	2.33
218.34484	2.33038
218.32562	2.33077
218.3064	2.33116
218.28718	2.33156
218.26797	2.33196
218.24876	2.33236
218.22956	2.33276
218.21036	2.33316
218.19116	2.33357
218.17197	2.33398
218.15277	2.33439
218.13359	2.3348
218.1144	2.33522
218.09522	2.33564
218.07604	2.33606
218.05687	2.33648
218.0377	2.33691
218.01853	2.33734
217.99936	2.33777
217.9802	2.3382
217.96104	2.33863
217.94189	2.33907
217.92236	2.33951
217.90321	2.33995
217.88406	2.3404
217.86492	2.34084
217.84579	2.34129
217.82665	2.34175
217.80752	2.3422
217.78839	2.34267
217.76927	2.34313
217.75015	2.3436
217.73103	2.34407
217.71192	2.34454
217.69281	2.34501
217.6737	2.34549
217.6546	2.34597
217.6355	2.34645
217.6164	2.34693
217.5973	2.34742
217.57821	2.34791
217.55913	2.3484
217.54004	2.3489
217.52096	2.34939
217.50189	2.34989
217.48281	2.35039
217.46374	2.3509
217.44467	2.3514
217.42561	2.35191
217.40655	2.35242
217.38749	2.35293
217.36844	2.35345
217.34939	2.35397
217.33034	2.35449
217.3113	2.35501
217.29226	2.35554
217.27322	2.35606
217.25419	2.35659
217.23516	2.35713
217.21613	2.35766
217.19711	2.3582
217.17809	2.35874
217.15869	2.35928
217.13968	2.35983
217.12066	2.36037
217.10166	2.36092
217.08265	2.36148
217.06365	2.36203
217.04466	2.36259
217.02566	2.36315
217.00667	2.36371
216.98769	2.36427
216.9687	2.36484
216.94972	2.3654
216.93074	2.36597
216.91177	2.36653
216.8928	2.36709
216.87383	2.36766
216.85487	2.36822
216.83591	2.36878
216.81695	2.36935
216.798	2.36991
216.77905	2.37047
216.7601	2.37103
216.74116	2.37159
216.72222	2.37215
216.70328	2.3727
216.68435	2.37326
216.66541	2.37381
216.64649	2.37436
216.62756	2.37491
216.60864	2.37545
216.58972	2.376
216.57081	2.37654
216.5519	2.37708
216.53299	2.37762
216.51409	2.37816
216.49519	2.37869
216.47629	2.37923
216.4574	2.37976
216.4385	2.38029
216.41962	2.38082
216.40035	2.38135
216.38147	2.38187
216.3626	2.38239
216.34372	2.38292
216.32485	2.38344
216.30598	2.38395
216.28712	2.38447
216.26826	2.38498
216.2494	2.3855
216.23054	2.38601
216.21169	2.38652
216.19284	2.38702
216.174	2.38753
216.15516	2.38803
216.13632	2.38854
216.11748	2.38904
216.09865	2.38953
216.07982	2.39003
216.061	2.39053
216.04218	2.39102
216.02336	2.39151
216.00454	2.392
215.98573	2.39247
215.96692	2.39293
215.94812	2.39338
215.92931	2.39381
215.91052	2.39422
215.89172	2.39462
215.87293	2.39499
215.85414	2.39536
215.83535	2.3957
215.81657	2.39604
215.79779	2.39635
215.77901	2.39665
