Wavelength_(nm)	Refractive_Index_101557_PROC-572-231
230.102488000	2.3864412964281723
232.101210000	2.3761142467027243
234.547874000	2.3623424929228487
238.309669000	2.3462825092841637
242.195769000	2.3290731138876954
246.210711000	2.3118637184912281
251.294578000	2.2958107972903781
255.617686000	2.2797508136516922
263.672385000	2.2568190779987405
268.972617000	2.2407626255789728
275.612900000	2.2258626473548229
281.402558000	2.2132544302084005
289.166321000	2.1972085714453868
301.894577000	2.1765862529647526
307.260645000	2.1697180321694045
315.701272000	2.1559674657030361
351.030761000	2.1296404630605075
358.297124000	2.1216263617262952
366.101174000	2.1147722658066188
374.167263000	2.1056193463713782
382.578319000	2.0999075997716479
391.768012000	2.0964876142496456
403.297496000	2.0896264558921329
418.039687000	2.0839217717302385
433.305700000	2.0782135563494260
449.039896000	2.0736547527263958
464.570948000	2.0690924178844465
479.499597000	2.0645265518235805
508.529032000	2.0599854042951398
541.299928000	2.0554442567666982
586.158239000	2.0497642911372291
645.254503000	2.0440913879455955
698.932587000	2.0406996521749363
745.438069000	2.0384432032863882
803.342299000	2.0361902856167569
900.163530000	2.0328056122839331
1008.093213000	2.0328621117866201
1155.381174000	2.0294739072348791
1352.968229000	2.0283845261987010
1593.414046000	2.0272880827246884
