Wavelength(nm)	n
203.28	2.804
210.17	2.813
217.54	2.817
225.45	2.808
233.96	2.787
243.14	2.764
253.06	2.722
263.83	2.674
275.56	2.629
288.37	2.597
302.44	2.572
317.95	2.555
335.14	2.56
354.29	2.615
364.71	2.716
370.15	2.664
375.76	2.675
400	2.565
427.59	2.51
459.26	2.471
496	2.436
539.13	2.408
590.48	2.393
620	2.383
688.89	2.365
729.41	2.359
775	2.351
826.67	2.346
885.71	2.34
953.85	2.336
