Longitud_de_onda	Extintion_coeficiente
200	0.3110486891385768
203.05732484076432	0.30382845487726334
206.11464968152865	0.2966082206159499
209.171974522293	0.2883580238078199
212.2292993630573	0.28010782699968995
214.52229299363057	0.2698003292063265
216.8152866242038	0.2615527565065961
218.34394904458597	0.2533078079152652
222.1656050955414	0.2419650993582863
224.45859872611464	0.2306276390181064
227.51592356687897	0.21619766692907755
229.80891719745222	0.2007403564016318
231.33757961783436	0.18734559507621845
233.63057324840764	0.1718882845487727
235.92356687898086	0.15643097402132689
237.45222929936307	0.14200625014909707
240.50955414012736	0.12448639041961879
242.03821656050957	0.1069717789069396
245.85987261146494	0.08635940742861237
248.9171974522293	0.06574966005868454
252.7388535031847	0.05337698895488918
255.796178343949	0.03997697941267686
263.43949044585986	0.028621150313700272
270.3184713375796	0.022417758057205583
277.96178343949043	0.019301629332760806
288.6624203821656	0.015145041627901423
298.5987261146497	0.013051003125074567
307.0063694267516	0.011992175385863169
315.41401273885344	0.01093334764665188
323.82165605095537	0.008844557360624061
333.7579617834395	0.008810443951430158
344.45859872611464	0.00774374388702026
354.3949044585987	0.007709630477826357
365.09554140127386	0.00767289296023288
376.5605095541401	0.004543643693790456
391.0828025477707	0.0034638230873828
404.84076433121015	0.0034165891361912504
412.48407643312095	0.0033903480521958462
417.8343949044586	0.0033719792933991632
429.2993630573248	0.0033326176674062236
440	0.0022659176029963257
450.70063694267515	0.0011992175385863169
460.6369426751592	0.0011651041293924136
468.28025477707	0.0011388630453971205
475.9235668789808	0.0011126219614017163
485.0955414012738	0.0010811326606073868
495.03184713375794	0.0010470192514134835
501.91082802547766	0.001023402275817653
514.140127388535	0.0009814165414251397
527.1337579617834	0.0009368066986330525
542.420382165605	0.0008843245306424663
568.4076433121019	0.000795104845058292
647.1337579617834	0.0025847467735394813
690.7006369426751	0.0014052100479496898
718.9808917197452	0.0002781554903504846
751.8471337579617	0.0008646437176458299
777.8343949044586	0.0009538634032300042
799.2356687898089	0.0000026241083995737213
