Wavelenght_(nm) 	Refractive_idex
200.1746985703087	2.181395348837209
205.008025682183	2.2
207.91518907014074	2.218604651162791
212.748516182015	2.2372093023255815
217.58856246967042	2.2627906976744185
224.35477248124232	2.288372093023256
230.15118145507486	2.3069767441860467
234.0191869797305	2.3232558139534887
242.68916346261528	2.3255813953488373
249.41057896897982	2.304651162790698
254.19911157564675	2.276744186046512
258.0335212213969	2.258139534883721
263.78737541528244	2.232558139534884
270.50655119638657	2.2093023255813957
280.1194520138863	2.1906976744186046
289.7345925566464	2.174418604651163
302.2322595095002	2.1511627906976747
314.7411250886558	2.1395348837209305
327.24999066781146	2.1279069767441863
337.8371719735713	2.1209302325581394
351.3113591399455	2.1116279069767443
368.64011347941323	2.104651162790698
382.1165403710479	2.097674418604651
399.4475344357759	2.0930232558139537
411.96535891597296	2.090697674418605
426.4071073948263	2.086046511627907
442.7772593228565	2.083720930232558
458.1820896636681	2.079069767441861
475.5153234536565	2.076744186046512
488.9962297958118	2.074418604651163
503.4402179999254	2.072093023255814
518.8472880659973	2.0697674418604652
537.143603717944	2.0674418604651166
552.5529135092763	2.0674418604651166
571.8145507484417	2.0674418604651166
589.1477845384301	2.065116279069768
603.594012467804	2.065116279069768
622.8556497069693	2.065116279069768
639.2258016349996	2.062790697674419
653.6675501138527	2.058139534883721
671.9683452163202	2.0604651162790697
708.563216245474	2.058139534883721
728.7879353465976	2.058139534883721
749.0126544477212	2.058139534883721
765.3850461010117	2.058139534883721
782.7205196162605	2.058139534883721
798.1298294075928	2.058139534883721
