Wavelenght	Thermo-optic-coeficient
227.44063324538257	0.00015027417979264948
235.8839050131926	0.00011618993363716321
248.54881266490764	0.00009473528157565101
259.1029023746702	0.00008085472135604065
267.5461741424802	0.00007265431358439279
278.1002638522428	0.00006508688467791372
286.54353562005275	0.00006067435569414464
299.20844327176775	0.00005626515817808695
316.0949868073878	0.00005185929212974072
330.8707124010554	0.00004808307347885189
347.75725593667534	0.00004493983369313186
368.8654353562004	0.00004053729911249697
402.6385224274406	0.00003930132459156212
427.9683377308707	0.00003742737400389115
461.74142480211077	0.000035560086351643086
495.51451187335095	0.00003369279869939502
535.6200527704484	0.00003309313451134037
571.5039577836412	0.00003312145198688737
596.8337730870712	0.00003124750139921645
624.2744063324537	0.000031900469070653755
658.0474934036938	0.000031295807681032005
698.1530343007914	0.000030696143492977244
731.9261213720315	0.0000307227952346686
765.6992084432718	0.000030749446976359896
805.8047493403694	0.000029518469656992087
850.1319261213719	0.000029553450067961937
888.126649076517	0.000029583433277364688
917.678100263852	0.000028975440420031485
955.6728232189971	0.000029636736760747285
1002.1108179419523	0.00002967338290557289
