Energy	Reflectance
1.6994428969359332	0.07624806962345065
1.7052924791086352	-0.19326857852122448
1.730640668523677	-0.3594469380980563
1.7559888579387188	-0.46344913187177994
1.7871866295264625	-0.5675379219767063
1.8125348189415043	-0.6093639499473209
1.837883008356546	-0.6097392007158629
1.8612813370473538	-0.672261751843779
1.8924791086350976	-0.527645878736271
1.9178272980501394	-0.30004185489341406
1.9412256267409471	-0.09313435420786043
1.9607242339832869	0.1345562659661983
1.9841225626740946	0.4658160982579709
2.0016713091922007	0.714260972476799
2.0172701949860725	1.024910877942471
2.0406685236768802	1.2939945444311345
2.06991643454039	1.5837170031896308
2.0991643454038997	1.6869109645388027
2.1245125348189418	1.7279864909723326
2.1440111420612813	1.7276978365349924
2.1752089136490254	1.623609046430066
2.202506963788301	1.4574018214095004
2.2317548746518105	1.22898956514209
2.2551532033426183	1.0421146824079557
2.2727019498607244	0.8553263960050224
2.2941504178272982	0.6270296015125494
2.317548746518106	0.3572531643742689
2.3448467966573814	0.08741899634852235
2.3701949860724234	-0.2031116948345293
2.3916434540389973	-0.43140848932700226
2.409192200557103	-0.7010983301340783
2.426740947075209	-0.9500627823401206
2.4501392757660168	-1.282015385281511
2.4657381615598886	-1.6138525264479622
2.4930362116991645	-2.028764414680964
2.502785515320334	-2.2983387937131052
2.518384401114206	-2.4850982146723037
2.537883008356546	-2.858443863928297
2.553481894150418	-3.0866540620895684
2.5690807799442896	-3.2941388716498032
2.5827298050139276	-3.4186932613621597
2.5983286908077994	-3.460374962114104
2.6178272980501394	-3.3155858963441904
2.6295264623955434	-3.087779814395196
2.641225626740947	-2.7977975666430943
2.649025069637883	-2.487032199402485
2.660724233983287	-2.0726976200441634
2.670473537604457	-1.6583341752421088
2.6802228412256266	-1.1610691760359089
2.6841225626740943	-0.14558286547259858
2.6860724233983286	-0.7466480003463847
2.689972144846797	0.28956369881796107
2.7055710306406686	0.8489182674960674
2.7153203342618384	1.38763404390434
2.7211699164345404	1.7606044423917915
2.727019498607242	2.237201783884424
2.7348189415041784	2.7759464257364304
2.7465181058495824	3.3975348911051144
2.754317548746518	3.9362795329571214
2.766016713091922	4.4749664439216605
2.773816155988858	4.785731811162267
2.781615598885794	5.034321012599767
2.78941504178273	5.241459436835194
2.805013927576602	5.365580844891539
2.830362116991643	5.157951708112634
2.844011142061281	4.929770375395097
2.857660167130919	4.5772367110713414
2.8654596100278553	4.32841658608397
2.8791086350974933	3.9137067559571066
2.890807799442897	3.4990257912739775
2.894707520891365	3.1880872313709645
2.908356545961003	2.773377401244102
2.922005571030641	2.4208437369203466
2.9317548746518103	2.006191637680951
2.9493036211699164	1.425620967858329
2.9629526462395543	1.0316365263325018
2.9766016713091923	0.6583774734077101
2.984401114206128	0.3266557940161938
2.992200557103064	0.03638489182675109
3	-0.21243523316062163
