"Wavelength (nm)"	Reflectance
604	0.1362263
605	0.1385955
606	0.140956
607	0.1433071
608	0.1456496
609	0.1479856
610	0.1503105
611	0.1526239
612	0.1549252
613	0.1572141
614	0.1594939
615	0.1617729
616	0.1640385
617	0.1662902
618	0.1685276
619	0.1707503
620	0.1729554
621	0.1750464
622	0.1771222
623	0.1791826
624	0.1812476
625	0.1832973
626	0.185331
627	0.1873605
628	0.1893761
629	0.1913754
630	0.1933626
631	0.1953355
632	0.1972917
633	0.1992304
634	0.2011512
635	0.2030552
636	0.2049423
637	0.2068132
638	0.2086668
639	0.2105032
640	0.2123141
641	0.214107
642	0.2158825
643	0.2176319
644	0.2193585
645	0.2210676
646	0.2227619
647	0.2244463
648	0.2261132
649	0.2277626
650	0.2293942
651	0.2310085
652	0.2326055
653	0.234192
654	0.2357688
655	0.2373286
656	0.2388714
657	0.2404062
658	0.2419241
659	0.2434252
660	0.2449032
661	0.2463587
662	0.2477973
663	0.2492191
664	0.2506272
665	0.2520186
666	0.2533932
667	0.2547535
668	0.2561001
669	0.2574303
670	0.2587442
671	0.2600416
672	0.2613227
673	0.2625878
674	0.2638374
675	0.2650734
676	0.2662937
677	0.2674983
678	0.2686935
679	0.2698792
680	0.2710495
681	0.2722045
682	0.273347
683	0.2744754
684	0.2755888
685	0.2766875
686	0.2777752
687	0.2788482
688	0.2799066
689	0.28095
690	0.2819771
691	0.2829899
692	0.2839886
693	0.2849731
694	0.2859435
695	0.2869
696	0.2878426
697	0.2887698
698	0.2896816
699	0.2905798
700	0.2914645
701	0.2923388
702	0.2932023
703	0.2940526
704	0.2948899
705	0.2957141
706	0.2965256
707	0.2973243
708	0.2981102
709	0.2988787
710	0.2996305
711	0.3003697
712	0.3010965
713	0.3018203
714	0.3025425
715	0.3032527
716	0.3039509
717	0.3046423
718	0.3053315
719	0.3060091
720	0.3066752
721	0.3073281
722	0.3079629
723	0.3085864
724	0.3091987
725	0.3097998
726	0.3103851
727	0.3109592
728	0.3115224
729	0.3120747
730	0.3126237
731	0.3131651
732	0.313696
733	0.3142165
734	0.3147302
735	0.3152392
736	0.3157379
737	0.3162265
738	0.3167047
739	0.3171586
740	0.3176025
741	0.3180365
742	0.3184607
743	0.3188728
744	0.3192738
745	0.3196653
746	0.3200472
747	0.3204191
748	0.3207774
749	0.3211265
750	0.3214663
751	0.321797
752	0.3221286
753	0.3224576
754	0.3227777
755	0.3230889
756	0.3233916
757	0.3236955
758	0.3239908
759	0.3242775
760	0.3245558
761	0.3248279
762	0.325095
763	0.3253538
764	0.3256044
765	0.3258468
766	0.3260859
767	0.326319
768	0.3265442
769	0.3267615
770	0.3269709
771	0.3271562
772	0.3273326
773	0.3275014
774	0.3276626
775	0.3278146
776	0.3279479
777	0.3280736
778	0.328192
779	0.328303
780	0.3284099
781	0.3285192
782	0.3286214
783	0.3287165
784	0.3288045
785	0.3288848
786	0.3289563
787	0.329021
788	0.3290788
789	0.3291299
790	0.3291764
791	0.3292209
792	0.3292587
793	0.3292901
794	0.3293149
795	0.3293305
796	0.3293319
797	0.329327
798	0.3293157
799	0.3292982
800	0.3292732
801	0.3292331
802	0.3291868
803	0.3291344
804	0.329076
805	0.3290117
806	0.3289657
807	0.3289154
808	0.3288593
809	0.3287975
810	0.3287299
811	0.3286696
812	0.32861
813	0.3285449
814	0.3284743
