"Wavelength (nm)"	Reflectance
200	0.4678764
201	0.43567
202	0.3993298
203	0.3589516
204	0.3148393
205	0.2677413
206	0.2188927
207	0.1702551
208	0.124459
209	0.08474
210	0.0544569
211	0.0364317
212	0.0322967
213	0.0420284
214	0.0640224
215	0.0956065
216	0.1337014
217	0.1754495
218	0.2184305
219	0.2608633
220	0.3015137
221	0.3395944
222	0.3746466
223	0.4064345
224	0.4348577
225	0.459981
226	0.4904205
227	0.5224297
228	0.5488567
229	0.5702023
230	0.5870932
231	0.6001003
232	0.6096741
233	0.616183
234	0.6201063
235	0.6216848
236	0.6210962
237	0.6185577
238	0.6143661
239	0.6082646
240	0.6001672
241	0.5900935
242	0.5775787
243	0.5622018
244	0.5435939
245	0.5211029
246	0.4944647
247	0.4634534
248	0.4277303
249	0.3852119
250	0.3402437
251	0.2945126
252	0.2510609
253	0.213451
254	0.1857789
255	0.1715305
256	0.1726641
257	0.1891429
258	0.2184999
259	0.2576217
260	0.30263
261	0.349987
262	0.395804
263	0.4395547
264	0.4807916
265	0.5187031
266	0.5524591
267	0.5827035
268	0.6091059
269	0.6324119
270	0.6524012
271	0.6691888
272	0.6834154
273	0.6951308
274	0.7045497
275	0.7120114
276	0.7175604
277	0.7214828
278	0.7242455
279	0.7259489
280	0.7267994
281	0.7267685
282	0.7259407
283	0.7243858
284	0.7220433
285	0.7187039
286	0.7140075
287	0.7080483
288	0.6998333
289	0.689971
290	0.6782963
291	0.6654713
292	0.6517739
293	0.6374843
294	0.6227106
295	0.6075472
296	0.5921578
297	0.5764151
298	0.5602744
299	0.5438108
300	0.5268578
301	0.509399
302	0.4914245
303	0.4729855
304	0.4539552
305	0.4343632
306	0.414171
307	0.3934445
308	0.3722178
309	0.3505366
310	0.3284529
311	0.3082294
312	0.2878177
313	0.267354
314	0.246972
315	0.2267662
316	0.2067951
317	0.1872621
318	0.168341
319	0.1501712
320	0.1329256
321	0.1167723
322	0.1019146
323	0.0884936
324	0.0767698
325	0.0668598
326	0.0588347
327	0.0528209
328	0.0488761
329	0.0469958
330	0.0471717
331	0.0493652
332	0.053476
333	0.0593767
334	0.0669254
335	0.0759916
336	0.0864047
337	0.098002
338	0.1105958
339	0.123974
340	0.1380355
341	0.1527065
342	0.1677491
343	0.1830799
344	0.1986265
345	0.2143046
346	0.2300307
347	0.2457621
348	0.2614454
349	0.2770359
350	0.2925387
351	0.3078818
352	0.3231437
353	0.3383376
354	0.3534003
355	0.3680177
356	0.3823635
357	0.3965132
358	0.4104203
