Wavelength(nm)	R_simulated	R_experimental
2.000000e+02	0.418916	0.357120
2.002500e+02	0.420140	0.354380
2.005000e+02	0.420615	0.355450
2.007500e+02	0.420458	0.357080
2.010000e+02	0.419762	0.355350
2.012500e+02	0.418601	0.359750
2.015000e+02	0.417038	0.365620
2.017500e+02	0.415128	0.371210
2.020000e+02	0.412922	0.378760
2.022500e+02	0.410466	0.387670
2.025000e+02	0.407814	0.401230
2.027500e+02	0.405023	0.413020
2.030000e+02	0.402159	0.424870
2.032500e+02	0.399309	0.435650
2.035000e+02	0.396590	0.443970
2.037500e+02	0.394169	0.449790
2.040000e+02	0.392293	0.449280
2.042500e+02	0.391358	0.444840
2.045000e+02	0.392045	0.437110
2.047500e+02	0.395681	0.425400
2.050000e+02	0.405604	0.409820
2.052500e+02	0.427260	0.387970
2.055000e+02	0.416185	0.364220
2.057500e+02	0.431921	0.337500
2.060000e+02	0.444252	0.309030
2.062500e+02	0.351411	0.279880
2.065000e+02	0.270192	0.250230
2.067500e+02	0.199067	0.220190
2.070000e+02	0.142421	0.192880
2.072500e+02	0.104980	0.174460
2.075000e+02	0.089367	0.163760
2.077500e+02	0.094900	0.154230
2.080000e+02	0.117959	0.158020
2.082500e+02	0.153440	0.165210
2.085000e+02	0.196271	0.179310
2.087500e+02	0.242331	0.204440
2.090000e+02	0.288702	0.231800
2.092500e+02	0.333544	0.260900
2.095000e+02	0.375816	0.293740
2.097500e+02	0.415021	0.330960
2.100000e+02	0.450999	0.369600
2.102500e+02	0.483794	0.407500
2.105000e+02	0.513558	0.445820
2.107500e+02	0.540498	0.482900
2.110000e+02	0.564845	0.518940
2.112500e+02	0.586832	0.552600
2.115000e+02	0.606680	0.584280
2.117500e+02	0.624598	0.615940
2.120000e+02	0.640776	0.645100
2.122500e+02	0.655386	0.671690
2.125000e+02	0.668581	0.696320
2.127500e+02	0.680500	0.718200
2.130000e+02	0.691266	0.737840
2.132500e+02	0.700987	0.756660
2.135000e+02	0.709759	0.774330
2.137500e+02	0.717667	0.789530
2.140000e+02	0.724787	0.803380
2.142500e+02	0.731187	0.815740
2.145000e+02	0.736923	0.826920
2.147500e+02	0.742046	0.837230
2.150000e+02	0.746604	0.845900
2.152500e+02	0.750635	0.852780
2.155000e+02	0.754177	0.858320
2.157500e+02	0.757259	0.862750
2.160000e+02	0.759909	0.865020
2.162500e+02	0.762151	0.867440
2.165000e+02	0.764005	0.868790
2.167500e+02	0.765489	0.868610
2.170000e+02	0.766619	0.868870
2.172500e+02	0.767407	0.869440
2.175000e+02	0.767864	0.867920
2.177500e+02	0.768000	0.864760
2.180000e+02	0.767822	0.861340
2.182500e+02	0.767336	0.856310
2.185000e+02	0.766544	0.849760
2.187500e+02	0.765449	0.841270
2.190000e+02	0.764052	0.832760
2.192500e+02	0.762353	0.823140
2.195000e+02	0.760349	0.811790
2.197500e+02	0.758039	0.800830
2.200000e+02	0.755417	0.790290
2.202500e+02	0.752477	0.778390
2.205000e+02	0.749212	0.765140
2.207500e+02	0.745614	0.751030
2.210000e+02	0.741675	0.736740
2.212500e+02	0.737382	0.721730
2.215000e+02	0.732725	0.704670
2.217500e+02	0.727690	0.686040
2.220000e+02	0.722262	0.665910
2.222500e+02	0.716427	0.644510
2.225000e+02	0.710165	0.621760
2.227500e+02	0.703459	0.598060
2.230000e+02	0.696290	0.574250
2.232500e+02	0.688635	0.549950
2.235000e+02	0.680473	0.524390
2.237500e+02	0.671782	0.497200
2.240000e+02	0.662535	0.470160
2.242500e+02	0.652708	0.443590
2.245000e+02	0.642276	0.415790
2.247500e+02	0.631212	0.387380
2.250000e+02	0.619488	0.360860
2.252500e+02	0.607078	0.335030
2.255000e+02	0.593952	0.308960
2.257500e+02	0.580087	0.283690
2.260000e+02	0.565456	0.260620
2.262500e+02	0.550038	0.240060
2.265000e+02	0.533813	0.220830
2.267500e+02	0.516766	0.204200
2.270000e+02	0.498886	0.190150
2.272500e+02	0.480170	0.178540
2.275000e+02	0.460619	0.169710
2.277500e+02	0.440255	0.164690
2.280000e+02	0.419105	0.161650
2.282500e+02	0.397212	0.160970
2.285000e+02	0.374636	0.165170
2.287500e+02	0.351462	0.170760
2.290000e+02	0.327791	0.179330
2.292500e+02	0.303760	0.192510
2.295000e+02	0.279528	0.206250
2.297500e+02	0.255283	0.221730
2.300000e+02	0.231242	0.238860
2.302500e+02	0.207653	0.257580
2.305000e+02	0.184793	0.277530
2.307500e+02	0.162950	0.298140
2.310000e+02	0.142433	0.319300
2.312500e+02	0.123542	0.340420
2.315000e+02	0.106579	0.361640
2.317500e+02	0.091813	0.383290
2.320000e+02	0.079489	0.403750
2.322500e+02	0.069794	0.424270
2.325000e+02	0.062868	0.445140
2.327500e+02	0.058778	0.465380
2.330000e+02	0.057532	0.485170
2.332500e+02	0.059069	0.504710
2.335000e+02	0.063273	0.524350
2.337500e+02	0.069975	0.543550
2.340000e+02	0.078966	0.562100
2.342500e+02	0.090011	0.579790
2.345000e+02	0.102855	0.596890
2.347500e+02	0.117244	0.613730
2.350000e+02	0.132919	0.629890
2.352500e+02	0.149639	0.644650
2.355000e+02	0.167168	0.658150
2.357500e+02	0.185311	0.671190
2.360000e+02	0.203864	0.683470
2.362500e+02	0.222666	0.694980
2.365000e+02	0.241583	0.706290
2.367500e+02	0.260479	0.717290
2.370000e+02	0.279253	0.727980
2.372500e+02	0.297825	0.737670
2.375000e+02	0.316116	0.746990
2.377500e+02	0.334074	0.756230
2.380000e+02	0.351657	0.764550
2.382500e+02	0.368819	0.772540
2.385000e+02	0.385521	0.780230
2.387500e+02	0.401776	0.786900
2.390000e+02	0.417549	0.793110
2.392500e+02	0.432839	0.799180
2.395000e+02	0.447637	0.805300
2.397500e+02	0.461941	0.810780
2.400000e+02	0.475757	0.815060
2.402500e+02	0.489086	0.818730
2.405000e+02	0.501941	0.821670
2.407500e+02	0.514320	0.823980
2.410000e+02	0.526240	0.827050
2.412500e+02	0.537704	0.830650
2.415000e+02	0.548731	0.833640
2.417500e+02	0.559324	0.835390
2.420000e+02	0.569497	0.835870
2.422500e+02	0.579261	0.836310
2.425000e+02	0.588628	0.837490
2.427500e+02	0.597613	0.838760
2.430000e+02	0.606221	0.839080
2.432500e+02	0.614471	0.838890
2.435000e+02	0.622367	0.838920
2.437500e+02	0.629928	0.838950
2.440000e+02	0.637158	0.838170
2.442500e+02	0.644075	0.836850
2.445000e+02	0.650683	0.835580
2.447500e+02	0.656993	0.833840
2.450000e+02	0.663022	0.831380
2.452500e+02	0.668773	0.829010
2.455000e+02	0.674258	0.826730
2.457500e+02	0.679490	0.824690
2.460000e+02	0.684470	0.822760
2.462500e+02	0.689211	0.820350
2.465000e+02	0.693721	0.817470
2.467500e+02	0.698007	0.814210
2.470000e+02	0.702078	0.810550
2.472500e+02	0.705940	0.806920
2.475000e+02	0.709602	0.803350
2.477500e+02	0.713070	0.799050
2.480000e+02	0.716350	0.794420
2.482500e+02	0.719447	0.790280
2.485000e+02	0.722368	0.786420
2.487500e+02	0.725120	0.782180
2.490000e+02	0.727706	0.777200
2.492500e+02	0.730132	0.771830
2.495000e+02	0.732402	0.766670
2.497500e+02	0.734522	0.762010
2.500000e+02	0.736496	0.757610
2.502500e+02	0.738328	0.752730
2.505000e+02	0.740020	0.747270
2.507500e+02	0.741578	0.741500
2.510000e+02	0.743004	0.735190
2.512500e+02	0.744301	0.728720
2.515000e+02	0.745472	0.722480
2.517500e+02	0.746520	0.716260
2.520000e+02	0.747447	0.710020
2.522500e+02	0.748256	0.703780
2.525000e+02	0.748948	0.697120
2.527500e+02	0.749526	0.690020
2.530000e+02	0.749990	0.682920
2.532500e+02	0.750344	0.676090
2.535000e+02	0.750588	0.669220
2.537500e+02	0.750722	0.661990
2.540000e+02	0.750748	0.654690
2.542500e+02	0.750667	0.647100
2.545000e+02	0.750480	0.639400
2.547500e+02	0.750188	0.631730
2.550000e+02	0.749789	0.624090
2.552500e+02	0.749284	0.616330
2.555000e+02	0.748673	0.608190
2.557500e+02	0.747955	0.599660
2.560000e+02	0.747131	0.591260
2.562500e+02	0.746199	0.583130
2.565000e+02	0.745159	0.574610
2.567500e+02	0.744009	0.565820
2.570000e+02	0.742749	0.556790
2.572500e+02	0.741376	0.547650
2.575000e+02	0.739890	0.538360
2.577500e+02	0.738289	0.528700
2.580000e+02	0.736569	0.518980
2.582500e+02	0.734730	0.509600
2.585000e+02	0.732767	0.500350
2.587500e+02	0.730679	0.490760
2.590000e+02	0.728463	0.480860
2.592500e+02	0.726116	0.470480
2.595000e+02	0.723634	0.460100
2.597500e+02	0.721012	0.450330
2.600000e+02	0.718248	0.440720
2.602500e+02	0.715336	0.431030
2.605000e+02	0.712273	0.421130
2.607500e+02	0.709052	0.411040
2.610000e+02	0.705669	0.401040
2.612500e+02	0.702118	0.390520
2.615000e+02	0.698393	0.379710
2.617500e+02	0.694489	0.369290
2.620000e+02	0.690397	0.358700
2.622500e+02	0.686113	0.348070
2.625000e+02	0.681627	0.337800
2.627500e+02	0.676932	0.327720
2.630000e+02	0.672020	0.317500
2.632500e+02	0.666883	0.307480
2.635000e+02	0.661512	0.297650
2.637500e+02	0.655898	0.287800
2.640000e+02	0.650031	0.277650
2.642500e+02	0.643901	0.268050
2.645000e+02	0.637499	0.259180
2.647500e+02	0.630814	0.250300
2.650000e+02	0.623835	0.242070
2.652500e+02	0.616550	0.234510
2.655000e+02	0.608949	0.226620
2.657500e+02	0.601021	0.219080
2.660000e+02	0.592753	0.212430
2.662500e+02	0.584136	0.206430
2.665000e+02	0.575159	0.200810
2.667500e+02	0.565809	0.195400
2.670000e+02	0.556078	0.190030
2.672500e+02	0.545953	0.185650
2.675000e+02	0.535427	0.181950
2.677500e+02	0.524491	0.178140
2.680000e+02	0.513138	0.175170
2.682500e+02	0.501362	0.173460
2.685000e+02	0.489158	0.171970
2.687500e+02	0.476527	0.170740
2.690000e+02	0.463468	0.170840
2.692500e+02	0.449986	0.171660
2.695000e+02	0.436087	0.172620
2.697500e+02	0.421779	0.174180
2.700000e+02	0.407082	0.176050
2.702500e+02	0.392014	0.178630
2.705000e+02	0.376603	0.182120
2.707500e+02	0.360884	0.185510
2.710000e+02	0.344893	0.189700
2.712500e+02	0.328682	0.194370
2.715000e+02	0.312303	0.198860
2.717500e+02	0.295819	0.204070
2.720000e+02	0.279306	0.209590
2.722500e+02	0.262840	0.215340
2.725000e+02	0.246521	0.221200
2.727500e+02	0.230447	0.226900
2.730000e+02	0.214718	0.232900
2.732500e+02	0.199443	0.239380
2.735000e+02	0.184735	0.245280
2.737500e+02	0.170721	0.251060
2.740000e+02	0.157517	0.257290
2.742500e+02	0.145239	0.263650
2.745000e+02	0.133999	0.270010
2.747500e+02	0.123898	0.276380
2.750000e+02	0.115025	0.282610
2.752500e+02	0.107456	0.288540
2.755000e+02	0.101257	0.294390
2.757500e+02	0.096476	0.300230
2.760000e+02	0.093137	0.306010
2.762500e+02	0.091246	0.311790
2.765000e+02	0.090790	0.317570
2.767500e+02	0.091741	0.323440
2.770000e+02	0.094053	0.329000
2.772500e+02	0.097664	0.334260
2.775000e+02	0.102502	0.339380
