Wavelength(nm)	n	k
3.040000e+02	2.239611	0.000000
3.050000e+02	2.238248	0.000000
3.060000e+02	2.236904	0.000000
3.070000e+02	2.235578	0.000000
3.080000e+02	2.234270	0.000000
3.090000e+02	2.232979	0.000000
3.100000e+02	2.231706	0.000000
3.110000e+02	2.230450	0.000000
3.120000e+02	2.229210	0.000000
3.130000e+02	2.227987	0.000000
3.140000e+02	2.226779	0.000000
3.150000e+02	2.225587	0.000000
3.160000e+02	2.224410	0.000000
3.170000e+02	2.223249	0.000000
3.180000e+02	2.222102	0.000000
3.190000e+02	2.220970	0.000000
3.200000e+02	2.219852	0.000000
3.210000e+02	2.218748	0.000000
3.220000e+02	2.217658	0.000000
3.230000e+02	2.216581	0.000000
3.240000e+02	2.215518	0.000000
3.250000e+02	2.214467	0.000000
3.260000e+02	2.213430	0.000000
3.270000e+02	2.212405	0.000000
3.280000e+02	2.211392	0.000000
3.290000e+02	2.210391	0.000000
3.300000e+02	2.209403	0.000000
3.310000e+02	2.208426	0.000000
3.320000e+02	2.207460	0.000000
3.330000e+02	2.206506	0.000000
3.340000e+02	2.205564	0.000000
3.350000e+02	2.204632	0.000000
3.360000e+02	2.203711	0.000000
3.370000e+02	2.202800	0.000000
3.380000e+02	2.201900	0.000000
3.390000e+02	2.201010	0.000000
3.400000e+02	2.200130	0.000000
3.410000e+02	2.199260	0.000000
3.420000e+02	2.198400	0.000000
3.430000e+02	2.197550	0.000000
3.440000e+02	2.196709	0.000000
3.450000e+02	2.195877	0.000000
3.460000e+02	2.195055	0.000000
3.470000e+02	2.194241	0.000000
3.480000e+02	2.193437	0.000000
3.490000e+02	2.192641	0.000000
3.500000e+02	2.191854	0.000000
3.510000e+02	2.191075	0.000000
3.520000e+02	2.190305	0.000000
3.530000e+02	2.189543	0.000000
3.540000e+02	2.188789	0.000000
3.550000e+02	2.188043	0.000000
3.560000e+02	2.187304	0.000000
3.570000e+02	2.186574	0.000000
3.580000e+02	2.185851	0.000000
3.590000e+02	2.185136	0.000000
3.600000e+02	2.184428	0.000000
3.610000e+02	2.183727	0.000000
3.620000e+02	2.183034	0.000000
3.630000e+02	2.182348	0.000000
3.640000e+02	2.181668	0.000000
3.650000e+02	2.180996	0.000000
3.660000e+02	2.180330	0.000000
3.670000e+02	2.179671	0.000000
3.680000e+02	2.179019	0.000000
3.690000e+02	2.178373	0.000000
3.700000e+02	2.177734	0.000000
3.710000e+02	2.177101	0.000000
3.720000e+02	2.176474	0.000000
3.730000e+02	2.175853	0.000000
3.740000e+02	2.175239	0.000000
3.750000e+02	2.174630	0.000000
3.760000e+02	2.174027	0.000000
3.770000e+02	2.173430	0.000000
3.780000e+02	2.172839	0.000000
3.790000e+02	2.172254	0.000000
3.800000e+02	2.171674	0.000000
3.810000e+02	2.171099	0.000000
3.820000e+02	2.170530	0.000000
3.830000e+02	2.169967	0.000000
3.840000e+02	2.169408	0.000000
3.850000e+02	2.168855	0.000000
3.860000e+02	2.168308	0.000000
3.870000e+02	2.167765	0.000000
3.880000e+02	2.167227	0.000000
3.890000e+02	2.166694	0.000000
3.900000e+02	2.166166	0.000000
3.910000e+02	2.165643	0.000000
3.920000e+02	2.165125	0.000000
3.930000e+02	2.164611	0.000000
3.940000e+02	2.164103	0.000000
3.950000e+02	2.163598	0.000000
3.960000e+02	2.163099	0.000000
3.970000e+02	2.162603	0.000000
3.980000e+02	2.162112	0.000000
3.990000e+02	2.161626	0.000000
4.000000e+02	2.161144	0.000000
4.010000e+02	2.160666	0.000000
4.020000e+02	2.160192	0.000000
4.030000e+02	2.159723	0.000000
4.040000e+02	2.159257	0.000000
4.050000e+02	2.158796	0.000000
4.060000e+02	2.158339	0.000000
4.070000e+02	2.157885	0.000000
4.080000e+02	2.157436	0.000000
4.090000e+02	2.156990	0.000000
4.100000e+02	2.156548	0.000000
4.110000e+02	2.156110	0.000000
4.120000e+02	2.155676	0.000000
4.130000e+02	2.155246	0.000000
4.140000e+02	2.154819	0.000000
4.150000e+02	2.154395	0.000000
4.160000e+02	2.153975	0.000000
4.170000e+02	2.153559	0.000000
4.180000e+02	2.153146	0.000000
4.190000e+02	2.152737	0.000000
4.200000e+02	2.152331	0.000000
4.210000e+02	2.151929	0.000000
4.220000e+02	2.151529	0.000000
4.230000e+02	2.151133	0.000000
4.240000e+02	2.150741	0.000000
4.250000e+02	2.150351	0.000000
4.260000e+02	2.149965	0.000000
4.270000e+02	2.149582	0.000000
4.280000e+02	2.149201	0.000000
4.290000e+02	2.148824	0.000000
4.300000e+02	2.148450	0.000000
4.310000e+02	2.148079	0.000000
4.320000e+02	2.147711	0.000000
4.330000e+02	2.147346	0.000000
4.340000e+02	2.146984	0.000000
4.350000e+02	2.146625	0.000000
4.360000e+02	2.146268	0.000000
4.370000e+02	2.145914	0.000000
