Energy	Dialectric_function
-1.091091e+01	0.009759
-1.087087e+01	0.009812
-1.083083e+01	0.009866
-1.079079e+01	0.009921
-1.075075e+01	0.009976
-1.071071e+01	0.010032
-1.067067e+01	0.010088
-1.063063e+01	0.010144
-1.059059e+01	0.010202
-1.055055e+01	0.010259
-1.051051e+01	0.010317
-1.047047e+01	0.010376
-1.043043e+01	0.010436
-1.039039e+01	0.010496
-1.035035e+01	0.010556
-1.031031e+01	0.010617
-1.027027e+01	0.010679
-1.023023e+01	0.010741
-1.019019e+01	0.010804
-1.015015e+01	0.010867
-1.011011e+01	0.010931
-1.007007e+01	0.010996
-1.003003e+01	0.011062
-9.989990e+00	0.011128
-9.949950e+00	0.011194
-9.909910e+00	0.011262
-9.869870e+00	0.011330
-9.829830e+00	0.011398
-9.789790e+00	0.011468
-9.749750e+00	0.011538
-9.709710e+00	0.011609
-9.669670e+00	0.011680
-9.629630e+00	0.011752
-9.589590e+00	0.011825
-9.549550e+00	0.011899
-9.509510e+00	0.011974
-9.469469e+00	0.012049
-9.429429e+00	0.012125
-9.389389e+00	0.012202
-9.349349e+00	0.012280
-9.309309e+00	0.012358
-9.269269e+00	0.012438
-9.229229e+00	0.012518
-9.189189e+00	0.012599
-9.149149e+00	0.012681
-9.109109e+00	0.012764
-9.069069e+00	0.012848
-9.029029e+00	0.012933
-8.988989e+00	0.013018
-8.948949e+00	0.013105
-8.908909e+00	0.013192
-8.868869e+00	0.013281
-8.828829e+00	0.013370
-8.788789e+00	0.013461
-8.748749e+00	0.013552
-8.708709e+00	0.013645
-8.668669e+00	0.013738
-8.628629e+00	0.013833
-8.588589e+00	0.013929
-8.548549e+00	0.014026
-8.508509e+00	0.014124
-8.468468e+00	0.014223
-8.428428e+00	0.014323
-8.388388e+00	0.014425
-8.348348e+00	0.014527
-8.308308e+00	0.014631
-8.268268e+00	0.014736
-8.228228e+00	0.014843
-8.188188e+00	0.014950
-8.148148e+00	0.015059
-8.108108e+00	0.015170
-8.068068e+00	0.015281
-8.028028e+00	0.015394
-7.987988e+00	0.015509
-7.947948e+00	0.015625
-7.907908e+00	0.015742
-7.867868e+00	0.015861
-7.827828e+00	0.015981
-7.787788e+00	0.016102
-7.747748e+00	0.016226
-7.707708e+00	0.016351
-7.667668e+00	0.016477
-7.627628e+00	0.016605
-7.587588e+00	0.016735
-7.547548e+00	0.016866
-7.507508e+00	0.016999
-7.467467e+00	0.017134
-7.427427e+00	0.017271
-7.387387e+00	0.017410
-7.347347e+00	0.017550
-7.307307e+00	0.017692
-7.267267e+00	0.017836
-7.227227e+00	0.017982
-7.187187e+00	0.018130
-7.147147e+00	0.018281
-7.107107e+00	0.018433
-7.067067e+00	0.018587
-7.027027e+00	0.018744
-6.986987e+00	0.018902
-6.946947e+00	0.019063
-6.906907e+00	0.019226
-6.866867e+00	0.019392
-6.826827e+00	0.019560
-6.786787e+00	0.019730
-6.746747e+00	0.019903
-6.706707e+00	0.020078
-6.666667e+00	0.020256
-6.626627e+00	0.020436
-6.586587e+00	0.020619
-6.546547e+00	0.020805
-6.506507e+00	0.020994
-6.466466e+00	0.021185
-6.426426e+00	0.021380
-6.386386e+00	0.021577
-6.346346e+00	0.021778
-6.306306e+00	0.021981
-6.266266e+00	0.022188
-6.226226e+00	0.022398
-6.186186e+00	0.022611
-6.146146e+00	0.022827
-6.106106e+00	0.023047
-6.066066e+00	0.023271
-6.026026e+00	0.023498
-5.985986e+00	0.023729
-5.945946e+00	0.023963
-5.905906e+00	0.024202
-5.865866e+00	0.024444
-5.825826e+00	0.024691
-5.785786e+00	0.024941
-5.745746e+00	0.025196
-5.705706e+00	0.025455
-5.665666e+00	0.025718
-5.625626e+00	0.025987
-5.585586e+00	0.026259
-5.545546e+00	0.026537
-5.505506e+00	0.026819
-5.465465e+00	0.027106
-5.425425e+00	0.027399
-5.385385e+00	0.027696
-5.345345e+00	0.027999
-5.305305e+00	0.028308
-5.265265e+00	0.028622
-5.225225e+00	0.028942
-5.185185e+00	0.029268
-5.145145e+00	0.029600
-5.105105e+00	0.029938
-5.065065e+00	0.030282
-5.025025e+00	0.030633
-4.984985e+00	0.030991
-4.944945e+00	0.031356
-4.904905e+00	0.031728
-4.864865e+00	0.032107
-4.824825e+00	0.032494
-4.784785e+00	0.032889
-4.744745e+00	0.033291
-4.704705e+00	0.033701
-4.664665e+00	0.034120
-4.624625e+00	0.034548
-4.584585e+00	0.034984
-4.544545e+00	0.035430
-4.504505e+00	0.035885
-4.464464e+00	0.036349
-4.424424e+00	0.036824
-4.384384e+00	0.037309
-4.344344e+00	0.037804
-4.304304e+00	0.038310
-4.264264e+00	0.038827
-4.224224e+00	0.039356
-4.184184e+00	0.039897
-4.144144e+00	0.040450
-4.104104e+00	0.041016
-4.064064e+00	0.041594
-4.024024e+00	0.042187
-3.983984e+00	0.042793
-3.943944e+00	0.043413
-3.903904e+00	0.044048
-3.863864e+00	0.044699
-3.823824e+00	0.045365
-3.783784e+00	0.046048
-3.743744e+00	0.046747
-3.703704e+00	0.047464
-3.663664e+00	0.048199
-3.623624e+00	0.048953
-3.583584e+00	0.049726
-3.543544e+00	0.050520
-3.503504e+00	0.051333
-3.463463e+00	0.052169
-3.423423e+00	0.053027
-3.383383e+00	0.053907
-3.343343e+00	0.054812
-3.303303e+00	0.055742
-3.263263e+00	0.056697
-3.223223e+00	0.057679
-3.183183e+00	0.058689
-3.143143e+00	0.059727
-3.103103e+00	0.060796
-3.063063e+00	0.061896
-3.023023e+00	0.063028
-2.982983e+00	0.064194
-2.942943e+00	0.065395
-2.902903e+00	0.066632
-2.862863e+00	0.067907
-2.822823e+00	0.069222
-2.782783e+00	0.070578
-2.742743e+00	0.071977
-2.702703e+00	0.073421
-2.662663e+00	0.074911
-2.622623e+00	0.076451
-2.582583e+00	0.078041
-2.542543e+00	0.079684
-2.502503e+00	0.081383
-2.462462e+00	0.083140
-2.422422e+00	0.084957
-2.382382e+00	0.086838
-2.342342e+00	0.088786
-2.302302e+00	0.090803
-2.262262e+00	0.092892
-2.222222e+00	0.095058
-2.182182e+00	0.097304
-2.142142e+00	0.099634
-2.102102e+00	0.102051
-2.062062e+00	0.104561
-2.022022e+00	0.107167
-1.981982e+00	0.109875
-1.941942e+00	0.112689
-1.901902e+00	0.115615
-1.861862e+00	0.118659
-1.821822e+00	0.121826
-1.781782e+00	0.125124
-1.741742e+00	0.128557
-1.701702e+00	0.132134
-1.661662e+00	0.135862
-1.621622e+00	0.139749
-1.581582e+00	0.143802
-1.541542e+00	0.148030
-1.501502e+00	0.152443
-1.461461e+00	0.157049
-1.421421e+00	0.161858
-1.381381e+00	0.166881
-1.341341e+00	0.172128
-1.301301e+00	0.177609
-1.261261e+00	0.183337
-1.221221e+00	0.189321
-1.181181e+00	0.195575
-1.141141e+00	0.202108
-1.101101e+00	0.208934
-1.061061e+00	0.216064
-1.021021e+00	0.223507
-9.809810e-01	0.231276
-9.409409e-01	0.239380
-9.009009e-01	0.247826
-8.608609e-01	0.256623
-8.208208e-01	0.265776
-7.807808e-01	0.275287
-7.407407e-01	0.285157
-7.007007e-01	0.295382
-6.606607e-01	0.305956
-6.206206e-01	0.316867
-5.805806e-01	0.328099
-5.405405e-01	0.339629
-5.005005e-01	0.351429
-4.604605e-01	0.363463
-4.204204e-01	0.375690
-3.803804e-01	0.388061
-3.403403e-01	0.400520
-3.003003e-01	0.413004
-2.602603e-01	0.425444
-2.202202e-01	0.437769
-1.801802e-01	0.449899
-1.401401e-01	0.461758
-1.001001e-01	0.473265
-6.006006e-02	0.484344
-2.002002e-02	0.494921
2.002002e-02	0.504929
6.006006e-02	0.514307
1.001001e-01	0.523004
1.401401e-01	0.530981
1.801802e-01	0.538207
2.202202e-01	0.544664
2.602603e-01	0.550343
3.003003e-01	0.555249
3.403403e-01	0.559394
3.803804e-01	0.562798
4.204204e-01	0.565490
4.604605e-01	0.567504
5.005005e-01	0.568878
5.405405e-01	0.569654
5.805806e-01	0.569875
6.206206e-01	0.569586
6.606607e-01	0.568831
7.007007e-01	0.567653
7.407407e-01	0.566096
7.807808e-01	0.564198
8.208208e-01	0.561998
8.608609e-01	0.559532
9.009009e-01	0.556833
9.409409e-01	0.553932
9.809810e-01	0.550856
1.021021e+00	0.547633
1.061061e+00	0.544284
1.101101e+00	0.540831
1.141141e+00	0.537294
1.181181e+00	0.533688
1.221221e+00	0.530030
1.261261e+00	0.526332
1.301301e+00	0.522608
1.341341e+00	0.518866
1.381381e+00	0.515117
1.421421e+00	0.511369
1.461461e+00	0.507629
1.501502e+00	0.503904
1.541542e+00	0.500198
1.581582e+00	0.496517
1.621622e+00	0.492864
1.661662e+00	0.489243
1.701702e+00	0.485656
1.741742e+00	0.482107
1.781782e+00	0.478598
1.821822e+00	0.475129
1.861862e+00	0.471703
1.901902e+00	0.468320
1.941942e+00	0.464982
1.981982e+00	0.461688
2.022022e+00	0.458440
2.062062e+00	0.455238
2.102102e+00	0.452081
2.142142e+00	0.448970
2.182182e+00	0.445904
2.222222e+00	0.442884
2.262262e+00	0.439909
2.302302e+00	0.436979
2.342342e+00	0.434092
2.382382e+00	0.431250
2.422422e+00	0.428451
2.462462e+00	0.425694
2.502503e+00	0.422980
2.542543e+00	0.420307
2.582583e+00	0.417675
2.622623e+00	0.415083
2.662663e+00	0.412530
2.702703e+00	0.410017
2.742743e+00	0.407541
2.782783e+00	0.405103
2.822823e+00	0.402702
2.862863e+00	0.400337
2.902903e+00	0.398007
2.942943e+00	0.395712
2.982983e+00	0.393452
3.023023e+00	0.391224
3.063063e+00	0.389030
3.103103e+00	0.386867
3.143143e+00	0.384736
3.183183e+00	0.382636
3.223223e+00	0.380566
3.263263e+00	0.378526
3.303303e+00	0.376515
3.343343e+00	0.374533
3.383383e+00	0.372578
3.423423e+00	0.370651
3.463463e+00	0.368751
3.503504e+00	0.366877
3.543544e+00	0.365028
3.583584e+00	0.363205
3.623624e+00	0.361407
3.663664e+00	0.359633
3.703704e+00	0.357883
3.743744e+00	0.356156
3.783784e+00	0.354452
3.823824e+00	0.352770
3.863864e+00	0.351110
3.903904e+00	0.349472
3.943944e+00	0.347855
3.983984e+00	0.346259
4.024024e+00	0.344683
4.064064e+00	0.343127
4.104104e+00	0.341590
4.144144e+00	0.340073
4.184184e+00	0.338574
4.224224e+00	0.337094
4.264264e+00	0.335632
4.304304e+00	0.334188
4.344344e+00	0.332761
4.384384e+00	0.331351
4.424424e+00	0.329959
4.464464e+00	0.328582
4.504505e+00	0.327222
4.544545e+00	0.325877
4.584585e+00	0.324549
4.624625e+00	0.323235
4.664665e+00	0.321937
4.704705e+00	0.320653
4.744745e+00	0.319384
4.784785e+00	0.318129
4.824825e+00	0.316888
4.864865e+00	0.315661
4.904905e+00	0.314448
4.944945e+00	0.313247
4.984985e+00	0.312060
5.025025e+00	0.310886
5.065065e+00	0.309724
5.105105e+00	0.308575
5.145145e+00	0.307437
5.185185e+00	0.306312
5.225225e+00	0.305199
5.265265e+00	0.304097
5.305305e+00	0.303007
5.345345e+00	0.301928
5.385385e+00	0.300859
5.425425e+00	0.299802
5.465465e+00	0.298756
5.505506e+00	0.297719
5.545546e+00	0.296694
5.585586e+00	0.295678
5.625626e+00	0.294673
5.665666e+00	0.293677
5.705706e+00	0.292691
5.745746e+00	0.291714
5.785786e+00	0.290747
5.825826e+00	0.289790
5.865866e+00	0.288841
5.905906e+00	0.287901
5.945946e+00	0.286970
5.985986e+00	0.286048
6.026026e+00	0.285135
6.066066e+00	0.284230
6.106106e+00	0.283333
6.146146e+00	0.282444
6.186186e+00	0.281564
6.226226e+00	0.280691
6.266266e+00	0.279827
6.306306e+00	0.278970
6.346346e+00	0.278120
6.386386e+00	0.277279
6.426426e+00	0.276444
6.466466e+00	0.275617
6.506507e+00	0.274797
