	
	
	
	
1.25876	0.01248
1.47439	0.01231
1.73315	0.00576
2.01348	0.01822
2.22911	0.01171
2.50943	0.01149
2.7035	0.01768
3.02695	0.01742
3.26415	0.06797
3.37197	0.24548
3.45822	0.34689
3.60916	0.35311
3.71698	0.35937
3.86792	0.36559
3.97574	0.37819
4.27763	0.40966
4.53639	0.45386
4.75202	0.51077
4.98922	0.61206
5.24798	0.72602
5.50674	0.84632
5.72237	1.03008
6.0027	1.17574
6.30458	1.3404
6.36927	1.46086
6.49865	1.54955
6.60647	1.70169
6.73585	1.83478
6.86523	1.99324
7.10243	1.94865
7.23181	1.73925
7.36119	1.67572
7.469	1.65026
7.59838	1.68187
7.77089	1.74516
7.85714	1.7768
8.00809	1.67521
8.09434	1.60537
8.20216	1.54186
8.33154	1.5037
8.48248	1.49724
8.71968	1.52242
8.97844	1.52856
9.21563	1.54106
9.36658	1.52191
