Energía	OFF	ON	Delta R/R
6.52632	0.01592	0.01644	2.62084
6.52288	0.0163	0.01682	2.54
6.51945	0.01625	0.01687	3.1926
6.51603	0.01531	0.01599	3.78095
6.51261	0.0135	0.01408	3.64533
6.50919	0.01185	0.01236	3.6223
6.50577	0.01078	0.01123	3.53498
6.50236	0.01104	0.01148	3.36799
6.49895	0.01253	0.01307	3.69697
6.49555	0.01348	0.01411	4.02304
6.49215	0.01525	0.01599	4.24088
6.48875	0.01704	0.01788	4.29339
6.48536	0.01833	0.01924	4.30955
6.48197	0.01969	0.02068	4.37619
6.47858	0.02103	0.02207	4.30887
6.4752	0.02248	0.02359	4.31718
6.47182	0.02329	0.02438	4.01095
6.46844	0.02511	0.02626	3.95543
6.46507	0.02607	0.02724	3.84955
6.4617	0.02743	0.0285	3.27613
6.45833	0.02822	0.02941	3.56149
6.45497	0.02892	0.03004	3.22657
6.45161	0.02917	0.0302	2.88699
6.44826	0.02919	0.03037	3.4087
6.44491	0.02916	0.03025	3.10963
6.44156	0.02848	0.02955	3.12045
6.43821	0.02561	0.02663	3.31656
6.43487	0.02439	0.02533	3.20199
6.43154	0.02184	0.02256	2.65059
6.4282	0.02273	0.02341	2.38882
6.42487	0.02458	0.02529	2.2238
6.42154	0.02738	0.02819	2.30167
6.41822	0.02939	0.03028	2.40571
6.4149	0.0315	0.03247	2.46944
6.41158	0.03308	0.03414	2.56257
6.40827	0.03534	0.03649	2.62383
6.40496	0.03603	0.03739	3.16366
6.40165	0.03807	0.03933	2.6844
6.39835	0.03915	0.04065	3.2113
6.39505	0.04009	0.04163	3.19971
6.39175	0.04089	0.04255	3.42835
6.38846	0.04126	0.04293	3.42152
6.38517	0.0415	0.04321	3.49943
6.38188	0.04178	0.04345	3.35967
6.3786	0.04245	0.04428	3.6727
6.37532	0.04294	0.04468	3.42671
6.37205	0.04357	0.04557	3.95604
6.36877	0.04356	0.04581	4.52798
6.3655	0.0428	0.04516	4.88047
6.36224	0.04091	0.04344	5.55984
6.35897	0.0388	0.04123	5.63042
6.35572	0.03742	0.0399	5.99447
6.35246	0.0376	0.04027	6.48454
6.34921	0.03894	0.04179	6.67712
6.34596	0.04009	0.04309	6.85143
6.34271	0.04302	0.04595	6.17302
6.33947	0.04508	0.04776	5.31647
6.33623	0.0485	0.05067	3.85007
6.33299	0.05176	0.05345	2.62885
6.32976	0.05353	0.05515	2.39678
6.32653	0.05521	0.05659	1.86684
6.3233	0.05641	0.05779	1.80661
6.32008	0.05776	0.05894	1.40581
6.31686	0.05831	0.05936	1.16579
6.31365	0.05935	0.06033	1.02711
6.31043	0.06013	0.0611	0.97922
6.30722	0.06134	0.06222	0.81006
6.30402	0.06243	0.06324	0.65722
6.30081	0.06367	0.0644	0.51405
6.29761	0.06446	0.06523	0.56868
