Energía	OFF	ON	Delta R/R
5.65435	0.32223	0.33316	0.42221
5.65178	0.31574	0.32673	0.50366
5.6492	0.30847	0.31941	0.56336
5.64663	0.3005	0.31074	0.43312
5.64406	0.29337	0.3035	0.4772
5.64149	0.28543	0.29545	0.53159
5.63893	0.27915	0.28897	0.53564
5.63636	0.27132	0.28075	0.49842
5.6338	0.26661	0.27593	0.52038
5.63124	0.25702	0.26598	0.50613
5.62869	0.24911	0.2579	0.54798
5.62613	0.24291	0.25129	0.4733
5.62358	0.23373	0.24167	0.4256
5.62103	0.22685	0.23488	0.55775
5.61849	0.21908	0.22692	0.59578
5.61594	0.21438	0.22212	0.62435
5.6134	0.20497	0.21242	0.64718
5.61086	0.19993	0.2069	0.5087
5.60832	0.19165	0.19847	0.57235
5.60579	0.1831	0.18954	0.53349
5.60325	0.17652	0.18317	0.77154
5.60072	0.17062	0.17671	0.59148
5.59819	0.1648	0.17079	0.6465
5.59567	0.15775	0.16318	0.46764
5.59314	0.15295	0.15841	0.58364
5.59062	0.14615	0.15123	0.49502
5.5881	0.14048	0.14542	0.53528
5.58559	0.1347	0.13944	0.54222
5.58307	0.12918	0.13373	0.54263
5.58056	0.12426	0.12848	0.42115
5.57805	0.11926	0.12329	0.4105
5.57554	0.11651	0.12052	0.46796
5.57303	0.11045	0.11406	0.30463
5.57053	0.106	0.10941	0.25439
5.56803	0.10281	0.10599	0.14251
5.56553	0.09854	0.10143	-0.01145
5.56303	0.0953	0.09814	0.03316
5.56054	0.09213	0.09479	-0.05536
5.55805	0.09058	0.09322	-0.01917
5.55556	0.0872	0.08958	-0.19566
5.55307	0.08576	0.08796	-0.35609
5.55058	0.08337	0.08556	-0.29917
5.5481	0.08167	0.0838	-0.32067
5.54562	0.08035	0.08243	-0.33181
5.54314	0.07944	0.08142	-0.4189
5.54066	0.07886	0.08073	-0.54379
5.53819	0.07827	0.08018	-0.48009
5.53571	0.07827	0.08018	-0.47807
5.53324	0.07842	0.08026	-0.56572
5.53078	0.07897	0.08069	-0.73119
5.52831	0.07968	0.08146	-0.6703
5.52585	0.08063	0.08245	-0.65468
5.52339	0.08177	0.08365	-0.61592
5.52093	0.08352	0.08532	-0.74856
5.51847	0.08421	0.08616	-0.59421
5.51601	0.08717	0.08917	-0.62199
5.51356	0.08922	0.09126	-0.62663
5.51111	0.09216	0.09408	-0.82422
5.50866	0.09467	0.09678	-0.67493
5.50622	0.09761	0.09983	-0.63025
5.50377	0.10079	0.10308	-0.63532
5.50133	0.10263	0.10506	-0.54042
5.49889	0.10732	0.10988	-0.52472
5.49645	0.11079	0.11345	-0.51868
5.49402	0.11471	0.11733	-0.62674
5.49159	0.11971	0.12244	-0.62447
5.48915	0.12359	0.12645	-0.60166
5.48673	0.12782	0.13095	-0.46899
5.4843	0.13027	0.13334	-0.56282
5.48187	0.13658	0.13986	-0.51511
5.47945	0.13864	0.1421	-0.42583
5.47703	0.14568	0.14926	-0.46429
5.47461	0.15163	0.15534	-0.46817
5.4722	0.15669	0.16052	-0.47533
5.46978	0.16065	0.16465	-0.4318
5.46737	0.1653	0.16937	-0.4531
5.46496	0.17111	0.17536	-0.43812
5.46256	0.1737	0.1781	-0.39072
5.46015	0.18156	0.18605	-0.44446
5.45775	0.18831	0.19288	-0.49087
5.45535	0.19372	0.19846	-0.47041
5.45295	0.19787	0.20282	-0.42177
5.45055	0.20278	0.20785	-0.42144
5.44815	0.20867	0.21409	-0.32579
5.44576	0.21135	0.21696	-0.27397
5.44337	0.21927	0.22503	-0.29819
5.44098	0.22647	0.23221	-0.38589
5.4386	0.23166	0.23752	-0.39318
5.43621	0.2359	0.24202	-0.33003
5.43383	0.24068	0.24657	-0.47112
5.43145	0.24676	0.25289	-0.43685
5.42907	0.24854	0.25488	-0.37367
5.4267	0.25693	0.2633	-0.4396
5.42432	0.2615	0.26819	-0.36576
5.42195	0.2682	0.27466	-0.50854
5.41958	0.27275	0.27936	-0.49118
5.41721	0.27785	0.28479	-0.42362
