Energía	OFF	ON	Delta R/R
6.52632	0.01619	0.01583	-3.88987
6.52288	0.01655	0.01621	-3.76321
6.51945	0.01648	0.01615	-3.72123
6.51603	0.01557	0.01529	-3.49813
6.51261	0.01369	0.01351	-2.99385
6.50919	0.01223	0.01205	-3.14084
6.50577	0.01134	0.01117	-3.18092
6.50236	0.01167	0.01151	-3.05328
6.49895	0.0133	0.01309	-3.28151
6.49555	0.01439	0.01414	-3.47618
6.49215	0.01628	0.01601	-3.31221
6.48875	0.01815	0.0178	-3.66318
6.48536	0.01956	0.01922	-3.41505
6.48197	0.02107	0.02075	-3.22363
6.47858	0.02255	0.02208	-3.79356
6.4752	0.02419	0.02368	-3.84711
6.47182	0.02509	0.02449	-4.11374
6.46844	0.02716	0.02651	-4.11937
6.46507	0.02816	0.02741	-4.40434
6.4617	0.02965	0.02878	-4.67979
6.45833	0.03059	0.02967	-4.79513
6.45497	0.03142	0.0304	-5.05038
6.45161	0.03176	0.03072	-5.05038
6.44826	0.0319	0.03091	-4.87841
6.44491	0.03192	0.03087	-5.04956
6.44156	0.03114	0.03021	-4.76903
6.43821	0.02816	0.0273	-4.82457
6.43487	0.02693	0.02608	-4.92439
6.43154	0.02438	0.02363	-4.84156
6.4282	0.02534	0.02462	-4.61108
6.42487	0.02737	0.02667	-4.29998
6.42154	0.0306	0.02982	-4.28727
6.41822	0.03297	0.03212	-4.32716
6.4149	0.03551	0.03463	-4.21451
6.41158	0.03743	0.03657	-4.03746
6.40827	0.04014	0.03926	-3.89797
6.40496	0.04113	0.04025	-3.8582
6.40165	0.04353	0.04281	-3.34784
6.39835	0.04497	0.0443	-3.18984
6.39505	0.04618	0.04554	-3.06109
6.39175	0.04729	0.04673	-2.865
6.38846	0.0477	0.04734	-2.41708
6.38517	0.0482	0.04795	-2.1968
6.38188	0.04867	0.04846	-2.1177
6.3786	0.04961	0.04947	-1.94536
6.37532	0.05009	0.0502	-1.45631
6.37205	0.05117	0.05134	-1.33629
6.36877	0.0512	0.05162	-0.86635
6.3655	0.05049	0.0513	-0.09652
6.36224	0.04848	0.04961	0.60491
6.35897	0.04618	0.04753	1.16127
6.35572	0.0448	0.04618	1.31806
6.35246	0.04494	0.04654	1.76665
6.34921	0.0467	0.04837	1.79542
6.34596	0.04802	0.04993	2.14703
6.34271	0.05145	0.0532	1.61404
6.33947	0.05346	0.05524	1.56
6.33623	0.05693	0.05837	0.78835
6.33299	0.06008	0.06147	0.60029
6.32976	0.06187	0.06315	0.35805
6.32653	0.0636	0.06484	0.2395
6.3233	0.06481	0.06605	0.20121
6.32008	0.06604	0.06733	0.23537
6.31686	0.06652	0.06788	0.33281
6.31365	0.06751	0.0688	0.20567
6.31043	0.06833	0.06967	0.25948
6.30722	0.06946	0.07085	0.29145
6.30402	0.07045	0.0719	0.35199
6.30081	0.07168	0.07324	0.46411
6.29761	0.07245	0.07409	0.5541
6.29442	0.07327	0.07482	0.39584
6.29122	0.07412	0.07594	0.72938
6.28803	0.0746	0.07632	0.5843
6.28485	0.07485	0.07671	0.7573
6.28166	0.07474	0.0766	0.76777
6.27848	0.07436	0.07618	0.7254
6.2753	0.07464	0.07642	0.66439
6.27213	0.07544	0.0772	0.60688
6.26896	0.07699	0.07874	0.55818
6.26579	0.07799	0.07973	0.51134
6.26263	0.0794	0.08134	0.71167
6.25946	0.08044	0.0823	0.59031
6.25631	0.08204	0.08386	0.50756
6.25315	0.08272	0.08453	0.47453
6.25	0.08409	0.08604	0.59798
6.24685	0.08501	0.08685	0.45093
6.24371	0.08578	0.08776	0.58962
6.24056	0.08677	0.08883	0.65058
6.23742	0.08744	0.08953	0.65941
6.23429	0.08876	0.09065	0.41571
6.23116	0.08955	0.09145	0.41113
6.22803	0.09094	0.09291	0.45202
6.2249	0.0914	0.09343	0.50841
6.22178	0.09313	0.09516	0.46241
6.21866	0.09423	0.09624	0.42508
6.21554	0.0951	0.09717	0.45366
6.21242	0.09645	0.09848	0.39375
6.20931	0.09751	0.09952	0.34692
6.20621	0.09875	0.10079	0.36148
6.2031	0.09954	0.1015	0.26479
6.2	0.10093	0.10286	0.21734
6.1969	0.10157	0.10352	0.21826
6.19381	0.10305	0.10513	0.3121
6.19071	0.1045	0.10643	0.14603
6.18762	0.10607	0.10792	0.04431
6.18454	0.10821	0.1102	0.14514
6.18146	0.10976	0.11178	0.1424
6.17838	0.11225	0.11423	0.06717
6.1753	0.11387	0.11601	0.1743
6.17222	0.11667	0.11869	0.0339
6.16915	0.11757	0.11963	0.05024
6.16609	0.12056	0.12262	0.01055
6.16302	0.12215	0.12422	-0.00717
6.15996	0.1236	0.12558	-0.09414
6.1569	0.12561	0.12773	-0.00333
6.15385	0.12707	0.12904	-0.14389
6.15079	0.12893	0.13077	-0.26351
6.14774	0.13011	0.1321	-0.16347
6.1447	0.1329	0.13453	-0.45749
6.14165	0.13383	0.13567	-0.31137
6.13861	0.1369	0.13858	-0.45292
6.13558	0.13893	0.14043	-0.59846
6.13254	0.14137	0.14268	-0.74344
6.12951	0.14449	0.14553	-0.95096
6.12648	0.14678	0.14768	-1.06005
6.12346	0.15036	0.15096	-1.26734
6.12043	0.15284	0.15326	-1.39413
6.11741	0.15737	0.15755	-1.55135
6.1144	0.15913	0.15932	-1.55007
6.11138	0.16479	0.16458	-1.7909
6.10837	0.16859	0.16812	-1.94636
6.10537	0.17329	0.17274	-1.98454
6.10236	0.17734	0.17658	-2.0946
6.09936	0.1809	0.18006	-2.13012
6.09636	0.18602	0.18532	-2.0438
6.09337	0.1886	0.18775	-2.11993
6.09037	0.19383	0.19325	-1.9636
6.08738	0.19736	0.19682	-1.94648
6.0844	0.20107	0.20068	-1.86574
6.08141	0.20416	0.2039	-1.79411
6.07843	0.20747	0.20761	-1.60091
6.07545	0.20992	0.21029	-1.48849
6.07248	0.21194	0.21242	-1.44103
6.06951	0.21417	0.21511	-1.2304
6.06654	0.21523	0.21608	-1.27375
6.06357	0.21645	0.21792	-0.99057
6.06061	0.21688	0.21856	-0.89912
6.05765	0.21685	0.21911	-0.63789
6.05469	0.21601	0.2188	-0.39449
6.05173	0.2152	0.21826	-0.26719
6.04878	0.21367	0.217	-0.13364
6.04583	0.21213	0.2157	-0.01088
6.04288	0.20915	0.21318	0.2208
6.03994	0.20755	0.21176	0.32065
6.037	0.20296	0.20748	0.51152
6.03406	0.19974	0.20471	0.76406
6.03113	0.19487	0.2002	0.99383
6.0282	0.19032	0.19587	1.1655
6.02527	0.18427	0.1901	1.39563
6.02234	0.17823	0.18436	1.66058
6.01942	0.17367	0.18006	1.88137
6.0165	0.16609	0.17249	2.04805
6.01358	0.16171	0.16837	2.2919
6.01066	0.15213	0.15906	2.68763
6.00775	0.14632	0.1532	2.81853
6.00484	0.13655	0.14374	3.33118
6.00194	0.12762	0.13473	3.61366
5.99903	0.12074	0.12781	3.86031
5.99613	0.11135	0.11829	4.20509
5.99323	0.10528	0.11216	4.47401
5.99034	0.09444	0.10118	4.98923
5.98745	0.09042	0.09725	5.35272
5.98456	0.07842	0.08501	6.08571
5.98167	0.07088	0.07686	6.11164
5.97878	0.06369	0.0695	6.69278
5.9759	0.05482	0.06026	7.35898
5.97303	0.04956	0.05468	7.70042
5.97015	0.04302	0.04772	8.18272
5.96728	0.03902	0.04342	8.44698
5.96441	0.03233	0.0359	8.28085
5.96154	0.02848	0.03154	8.04685
5.95867	0.02529	0.02774	7.16855
5.95581	0.02313	0.02508	6.13768
5.95295	0.02144	0.02278	4.18073
5.9501	0.02112	0.02198	2.24634
5.94724	0.02137	0.02174	0.04366
5.94439	0.02308	0.02284	-2.74177
5.94154	0.02464	0.02399	-4.36252
5.9387	0.02892	0.02758	-6.52879
5.93585	0.03228	0.03072	-6.76573
5.93301	0.0372	0.0354	-6.73241
5.93018	0.04401	0.0417	-7.1908
5.92734	0.04902	0.04647	-7.15367
5.92451	0.05759	0.05474	-6.88802
5.92168	0.06361	0.06056	-6.7113
5.91885	0.07299	0.06998	-5.96967
5.91603	0.07897	0.07599	-5.59664
5.91321	0.09064	0.08767	-5.05105
5.91039	0.10069	0.09743	-5.01638
5.90758	0.10875	0.10575	-4.50483
5.90476	0.11907	0.11603	-4.28842
5.90195	0.13041	0.12721	-4.179
5.89914	0.14158	0.13876	-3.6977
5.89634	0.14979	0.14717	-3.44441
5.89354	0.16338	0.16095	-3.17278
5.89074	0.16989	0.16755	-3.0653
5.88794	0.18395	0.18212	-2.66967
5.88514	0.19424	0.19255	-2.54562
5.88235	0.20706	0.20595	-2.20682
5.87956	0.21661	0.21536	-2.24683
5.87678	0.22529	0.2246	-1.97394
5.87399	0.23795	0.23768	-1.78033
5.87121	0.24464	0.24433	-1.79536
5.86843	0.25805	0.25819	-1.61104
5.86566	0.2654	0.26584	-1.50256
5.86288	0.2766	0.2773	-1.41438
5.86011	0.2878	0.2889	-1.28596
5.85735	0.29578	0.29713	-1.21346
5.85458	0.30578	0.30766	-1.05531
5.85182	0.31231	0.31466	-0.91891
5.84906	0.32247	0.32492	-0.91276
5.8463	0.32723	0.33002	-0.82225
5.84354	0.33853	0.3418	-0.70968
5.84079	0.34655	0.3502	-0.62685
5.83804	0.35331	0.35711	-0.60429
5.83529	0.36018	0.36443	-0.50145
5.83255	0.36828	0.37285	-0.44269
5.82981	0.37514	0.38009	-0.36634
5.82707	0.37968	0.38502	-0.28246
5.82433	0.38825	0.39378	-0.26397
5.8216	0.39366	0.39945	-0.21803
5.81886	0.40003	0.40621	-0.14547
5.81614	0.40549	0.41173	-0.15363
5.81341	0.41193	0.41857	-0.08074
5.81068	0.41641	0.42294	-0.12334
5.80796	0.42038	0.42739	-0.02734
5.80524	0.42663	0.43375	-0.02626
5.80253	0.42945	0.4371	0.08164
5.79981	0.43575	0.44354	0.08759
5.7971	0.43964	0.44746	0.08093
5.79439	0.44416	0.45236	0.14479
5.79169	0.44849	0.45657	0.10274
5.78898	0.45151	0.46001	0.18192
5.78628	0.45559	0.46425	0.19662
5.78358	0.45843	0.46713	0.19538
5.78089	0.46277	0.47139	0.16203
5.77819	0.46466	0.47323	0.14446
5.7755	0.46872	0.47778	0.22965
5.77281	0.47145	0.48052	0.22125
5.77013	0.47466	0.48401	0.26572
5.76744	0.47696	0.48617	0.22707
5.76476	0.47882	0.48831	0.27666
5.76208	0.48184	0.49139	0.27629
5.75941	0.4832	0.49279	0.27853
5.75673	0.48599	0.49578	0.30708
5.75406	0.48775	0.49743	0.27719
5.75139	0.48931	0.49931	0.33406
5.74873	0.49105	0.50132	0.38118
5.74606	0.49269	0.50262	0.30798
5.7434	0.49438	0.50452	0.34305
5.74074	0.49512	0.5055	0.38589
5.73808	0.49705	0.50715	0.32494
5.73543	0.49737	0.50832	0.4871
5.73278	0.49902	0.50946	0.38136
5.73013	0.49954	0.51021	0.42317
5.72748	0.5007	0.51127	0.40089
5.72484	0.5013	0.51188	0.39878
5.7222	0.50177	0.51229	0.38696
5.71956	0.50226	0.51293	0.41228
5.71692	0.50276	0.5134	0.40472
5.71429	0.5032	0.51365	0.36833
5.71165	0.50325	0.51362	0.35119
5.70902	0.50346	0.51369	0.32478
5.7064	0.50337	0.51371	0.34677
5.70377	0.50327	0.51338	0.30353
5.70115	0.50295	0.51338	0.36535
5.69853	0.50262	0.51316	0.38663
5.69591	0.50217	0.51247	0.34335
5.6933	0.502	0.51258	0.39674
5.69068	0.50114	0.51152	0.36071
5.68807	0.50054	0.51059	0.30113
5.68547	0.49955	0.51005	0.39202
5.68286	0.49868	0.50908	0.376
5.68026	0.49759	0.50808	0.39779
5.67766	0.49653	0.50661	0.32133
5.67506	0.4957	0.50596	0.36046
5.67246	0.49419	0.50433	0.34238
5.66987	0.49301	0.5028	0.27953
5.66728	0.49151	0.5014	0.30518
5.66469	0.4898	0.4996	0.29472
5.6621	0.48827	0.49838	0.36047
5.65952	0.48643	0.49612	0.285
5.65693	0.48495	0.49474	0.31141
5.65435	0.48297	0.49224	0.21518
5.65178	0.48079	0.49014	0.23924
5.6492	0.47911	0.48849	0.25293
5.64663	0.47657	0.48575	0.22214
5.64406	0.47455	0.48386	0.25762
5.64149	0.47198	0.4809	0.18776
5.63893	0.47011	0.47883	0.15299
5.63636	0.46723	0.47602	0.17904
5.6338	0.46539	0.47445	0.24146
5.63124	0.46191	0.47078	0.21763
5.62869	0.45908	0.46761	0.15778
5.62613	0.45631	0.46532	0.26786
5.62358	0.45291	0.46116	0.12209
5.62103	0.44986	0.45838	0.19219
5.61849	0.44656	0.45465	0.11312
5.61594	0.44428	0.45261	0.17245
5.6134	0.43991	0.44803	0.14581
5.61086	0.43726	0.44545	0.17123
5.60832	0.4331	0.44108	0.14095
5.60579	0.42882	0.43631	0.05075
5.60325	0.42523	0.43289	0.10375
5.60072	0.42109	0.42889	0.15148
5.59819	0.41796	0.42568	0.14471
5.59567	0.41338	0.42069	0.06912
5.59314	0.41018	0.41724	0.02383
5.59062	0.40539	0.41237	0.0249
5.5881	0.40091	0.40778	0.01688
5.58559	0.39647	0.40321	0.00399
5.58307	0.39148	0.3983	0.04475
5.58056	0.38713	0.39394	0.06273
5.57805	0.38209	0.38854	-0.0049
5.57554	0.37905	0.38583	0.09157
5.57303	0.37231	0.37894	0.08371
5.57053	0.36669	0.37315	0.06245
5.56803	0.36232	0.36889	0.11537
5.56553	0.35579	0.36235	0.14425
5.56303	0.35093	0.3569	0.00652
5.56054	0.34466	0.35076	0.0702
5.55805	0.34162	0.34745	0.0087
5.55556	0.33352	0.33954	0.10701
5.55307	0.32954	0.33564	0.1517
5.55058	0.32227	0.32804	0.09314
5.5481	0.31619	0.32192	0.11053
5.54562	0.31004	0.31566	0.11317
5.54314	0.30348	0.30919	0.18128
5.54066	0.29835	0.30405	0.20518
5.53819	0.29097	0.29644	0.17932
5.53571	0.28593	0.29152	0.25074
5.53324	0.27855	0.28387	0.20688
5.53078	0.2714	0.27653	0.18883
5.52831	0.26455	0.26971	0.24582
5.52585	0.2577	0.26307	0.37634
5.52339	0.25219	0.25719	0.27623
5.52093	0.24419	0.24933	0.39495
5.51847	0.24115	0.24652	0.51253
5.51601	0.23108	0.23607	0.44656
5.51356	0.22504	0.22966	0.34267
5.51111	0.21703	0.22166	0.42231
5.50866	0.21081	0.21511	0.3302
5.50622	0.20429	0.20849	0.34806
5.50377	0.19702	0.20129	0.45305
5.50133	0.19298	0.19732	0.529
5.49889	0.1838	0.18784	0.48227
5.49645	0.17734	0.18136	0.55012
5.49402	0.17086	0.17491	0.65174
5.49159	0.16322	0.16679	0.47033
5.48915	0.15713	0.16049	0.42927
5.48673	0.15048	0.15387	0.53756
5.4843	0.14672	0.15023	0.66703
5.48187	0.13851	0.14165	0.54742
5.47945	0.13527	0.13844	0.62224
5.47703	0.12685	0.1298	0.60926
5.47461	0.12013	0.12259	0.34505
5.4722	0.11454	0.11698	0.41415
5.46978	0.10995	0.11243	0.53378
5.46737	0.10535	0.10769	0.50718
5.46496	0.0996	0.10177	0.46942
5.46256	0.09687	0.09908	0.56204
5.46015	0.09039	0.09229	0.38799
5.45775	0.0848	0.08644	0.22856
5.45535	0.08075	0.08238	0.31507
5.45295	0.07757	0.07922	0.41491
5.45055	0.07434	0.07582	0.28887
5.44815	0.07057	0.07187	0.1442
5.44576	0.06885	0.07014	0.17046
5.44337	0.06471	0.06584	0.04736
5.44098	0.06155	0.06246	-0.20981
5.4386	0.05947	0.06024	-0.39079
5.43621	0.05778	0.05859	-0.28798
5.43383	0.05637	0.05707	-0.43884
5.43145	0.05474	0.05549	-0.31451
5.42907	0.05435	0.05502	-0.44983
5.4267	0.05294	0.0535	-0.6188
5.42432	0.05251	0.05301	-0.73632
5.42195	0.05218	0.05276	-0.56955
5.41958	0.05233	0.05282	-0.73526
5.41721	0.05272	0.05315	-0.84993
5.41485	0.05332	0.05385	-0.68101
5.41248	0.05379	0.05426	-0.79979
5.41012	0.05547	0.05596	-0.78465
5.40776	0.05677	0.05727	-0.79586
5.40541	0.05871	0.05932	-0.63613
5.40305	0.06056	0.06114	-0.72843
5.4007	0.06279	0.06346	-0.61106
5.39835	0.06512	0.06582	-0.59991
5.396	0.06652	0.06722	-0.63537
5.39365	0.07049	0.07134	-0.48785
5.3913	0.07328	0.07414	-0.52001
