Energía	OFF	ON	Delta R/R
6.52632	0.00387	0.00378	0.14803
6.52288	0.00393	0.00386	-0.44295
6.51945	0.00397	0.00392	-1.08146
6.51603	0.00391	0.00386	-0.86086
6.51261	0.00374	0.0037	-1.35789
6.50919	0.00361	0.00357	-1.19156
6.50577	0.00342	0.0034	-1.63189
6.50236	0.00345	0.0034	-0.88919
6.49895	0.0036	0.00358	-1.71256
6.49555	0.00375	0.0037	-1.21371
6.49215	0.00393	0.0039	-1.62155
6.48875	0.00412	0.00407	-1.13014
6.48536	0.00423	0.0042	-1.61032
6.48197	0.0044	0.00435	-1.31451
6.47858	0.00452	0.0045	-1.74974
6.4752	0.00471	0.00467	-1.35943
6.47182	0.00479	0.00474	-1.2898
6.46844	0.00498	0.00494	-1.39755
6.46507	0.00511	0.00504	-0.80766
6.4617	0.00524	0.00516	-0.7313
6.45833	0.00534	0.00524	-0.44503
6.45497	0.00541	0.00536	-1.28351
6.45161	0.00544	0.00541	-1.77507
6.44826	0.00547	0.00541	-1.23318
6.44491	0.00553	0.00545	-0.80386
6.44156	0.00555	0.00545	-0.50278
6.43821	0.0053	0.00521	-0.59666
6.43487	0.00513	0.00505	-0.80309
6.43154	0.00473	0.00465	-0.61212
6.4282	0.00478	0.00473	-1.17389
6.42487	0.00499	0.00494	-1.17952
6.42154	0.00536	0.00525	-0.22672
6.41822	0.00556	0.0055	-1.24786
6.4149	0.00583	0.00578	-1.4523
6.41158	0.00601	0.00596	-1.47094
6.40827	0.00634	0.00625	-0.8655
6.40496	0.00645	0.00637	-1.05863
6.40165	0.00672	0.00663	-0.99591
6.39835	0.00689	0.00681	-1.16782
6.39505	0.00705	0.00695	-0.95158
6.39175	0.0072	0.00712	-1.25303
6.38846	0.00727	0.00718	-1.06857
6.38517	0.00735	0.00724	-0.72354
6.38188	0.0074	0.00728	-0.73389
6.3786	0.00756	0.00742	-0.4371
6.37532	0.00764	0.00754	-1.11558
6.37205	0.00784	0.0077	-0.56615
6.36877	0.0079	0.00777	-0.67972
6.3655	0.008	0.00787	-0.67418
6.36224	0.00791	0.00778	-0.62794
6.35897	0.00765	0.00756	-1.04223
6.35572	0.00747	0.00737	-1.08003
6.35246	0.00748	0.00736	-0.78411
6.34921	0.00772	0.00761	-0.90074
6.34596	0.00788	0.00778	-1.15078
6.34271	0.00829	0.00817	-0.79464
6.33947	0.00853	0.0084	-0.80737
6.33623	0.00883	0.0087	-0.805
6.33299	0.00916	0.00897	-0.29029
6.32976	0.0094	0.0092	-0.09947
6.32653	0.00968	0.00943	0.34744
