Energy (eV),n (Simulated),k (Simulated)
3.0,1.626406325950206,0.026919629045617576
3.0426065162907268,1.6286940837115707,0.02739764756889004
3.0852130325814535,1.6310250808160554,0.02788891227609773
3.1278195488721803,1.6334004559734623,0.02839393788456663
3.170426065162907,1.635821394187823,0.028913265494671127
3.2130325814536342,1.6382891292243058,0.029447464309544386
3.255639097744361,1.640804946243944,0.02999713349350897
3.2982456140350878,1.643370184620038,0.030562904182748537
3.3408521303258145,1.6459862409514645,0.03114544166326373
3.3834586466165413,1.6486545722895978,0.03174544773301713
3.426065162907268,1.6513766995972303,0.03236366326707369
3.468671679197995,1.6541542114597159,0.03300087100684194
3.511278195488722,1.6569887680706532,0.03365789859721273
3.5538847117794488,1.6598821055166986,0.034335621898216706
3.5964912280701755,1.6628360403887006,0.0350349686013119
3.6390977443609023,1.6658524747492074,0.035756922184312784
3.681704260651629,1.6689334014896209,0.036502526243385285
3.724310776942356,1.6720809101138907,0.03727288924573742
3.7669172932330826,1.6752971929896507,0.03806918975260679
3.8095238095238093,1.6785845521122769,0.03889268216898019
3.852130325814536,1.6819454064323849,0.039744703084537494
3.894736842105263,1.6853822998030479,0.040626678279582454
3.93734335839599,1.6888979096093923,0.04154013048056514
3.979949874686717,1.6924950561504848,0.04248668796249267
4.022556390977444,1.6961767128515155,0.043468094110385755
4.065162907268171,1.6999460173934058,0.04448621806935609
4.1077694235588975,1.703806283857233,0.045543066633528535
4.150375939849624,1.7077610159923455,0.046640797548253905
4.192982456140351,1.711813921729971,0.04778173442900791
4.235588972431078,1.715968929078541,0.0489683835344642
4.2781954887218046,1.7202302035530894,0.05020345267230054
4.320802005012531,1.7246021673090355,0.05148987256493073
4.363408521303258,1.7290895201705012,0.052830821061201655
4.406015037593985,1.7336972627652096,0.054229750650548816
4.448621553884712,1.7384307220018327,0.05569041982145395
4.491228070175438,1.743295579151369,0.05721692890930903
4.533834586466165,1.748297900821356,0.058813761204532494
4.576441102756892,1.753444173139881,0.060485830245085324
4.619047619047619,1.7587413394943436,0.06223853440537552
4.661654135338345,1.764196842196111,0.06407782012439533
4.704260651629072,1.7698186684638149,0.06601025540070027
4.746867167919799,1.7756154011310745,0.06804311553445054
4.789473684210526,1.7815962744825544,0.0701844835348128
4.832080200501253,1.7877712355963054,0.07244336815752948
4.87468671679198,1.7941510115063761,0.0748298432212272
4.917293233082707,1.8007471823772763,0.07735521271013761
4.959899749373434,1.8075722606706819,0.08003220725318623
5.00250626566416,1.8146397759400212,0.08287521893766778
5.045112781954887,1.8219643643439634,0.08590058314998646
5.087719298245614,1.8295618611271807,0.08912691833913414
5.130325814536341,1.8374493930303317,0.09257553740232821
5.172932330827067,1.845645465643969,0.09627094796233315
5.215538847117794,1.8541700377890877,0.10024146334944112
5.258145363408522,1.8630445706048637,0.10451995186831241
5.3007518796992485,1.872292032422437,0.10914475921196769
5.343358395989975,1.8819368306031496,0.11416084799237884
5.385964912280702,1.8920046266603168,0.11962120956335837
5.428571428571429,1.9025219686557353,0.12558861672536561
5.471177944862156,1.9135156412755916,0.13213780119612406
5.513784461152882,1.9250115834446182,0.13935815559382816
5.556390977443609,1.9370331473358753,0.14735707273977475
5.598997493734336,1.9495983587302843,0.15626403784147
5.641604010025063,1.9627156692152157,0.16623556601244374
5.684210526315789,1.9763774420950004,0.17746099774793236
5.726817042606516,1.990550058391458,0.1901689690763957
5.769423558897243,2.005159044498703,0.20463395059565237
5.81203007518797,2.020067021098023,0.22118140209269813
5.854636591478696,2.0350416770913076,0.24018848032711218
5.897243107769423,2.049710795015019,0.2620743492816393
5.93984962406015,2.063502667592922,0.28726933291306095
5.982456140350877,2.0755754305302987,0.31614508530264174
6.0250626566416035,2.084754634985784,0.34889364432497144
6.06766917293233,2.0895526025143027,0.3854771221618184
6.110275689223057,2.0884222609402565,0.4260640694572614
6.152882205513784,2.079695594773216,0.4730032758952314
6.1954887218045105,2.056674598258043,0.527970177576707
6.238095238095238,2.0170330990819356,0.5763868305749764
6.280701754385965,1.97421121084973,0.6065848005286045
6.323308270676692,1.9391321661332648,0.6166568558160853
6.365914786967418,1.917095691428079,0.6117533783924664
