Energy (eV),n (Simulated),k (Simulated)
3.0,1.6612965053588478,0.04304253646367597
3.0854271356783918,1.666107655300155,0.044504288113945675
3.170854271356784,1.6710900441786714,0.04604070715905564
3.2562814070351758,1.676252932411974,0.04765758340520264
3.341708542713568,1.681606333580611,0.04936131375267033
3.4271356783919598,1.6871610962810617,0.05115898553897894
3.5125628140703515,1.692928997314352,0.05305847433781925
3.5979899497487438,1.6989228481066234,0.055068559297177015
3.6834170854271355,1.7051566166214045,0.05719905988833586
3.7688442211055277,1.7116455674609903,0.05946099896206198
3.8542713567839195,1.7184064233799319,0.06186679835005668
3.9396984924623117,1.7254575520616382,0.06443051502209521
4.025125628140703,1.7328191827527184,0.06716812816952189
4.110552763819095,1.740513658217304,0.0700978907581208
4.1959798994974875,1.7485657284609195,0.07324076339590552
4.28140703517588,1.757002893749466,0.07662095425380362
4.366834170854271,1.7658558055287916,0.0802665969269713
4.452261306532663,1.7751587347457365,0.08421060951170284
4.5376884422110555,1.7849501173977336,0.08849179425001284
4.623115577889447,1.7952731861415536,0.093156260031687
4.708542713567839,1.806176693027434,0.09825928311160706
4.793969849246231,1.8177157191469857,0.10386776955596673
4.8793969849246235,1.829952546985258,0.1100635537139252
4.964824120603015,1.8429575306464627,0.11694787187586832
5.050251256281407,1.8568098189241198,0.1246475064584876
5.135678391959798,1.8715976298179222,0.13332332882179587
5.221105527638191,1.8874174712537708,0.14318231309078513
5.306532663316583,1.9043711112653927,0.15449459062781803
5.391959798994975,1.9225579446611671,0.1676177924423612
5.477386934673367,1.9420581356200985,0.18303172035909848
5.562814070351759,1.9628974781451158,0.20138689220116315
5.648241206030151,1.9849763701172913,0.22356923853224842
5.733668341708542,2.007929613925665,0.25077557460864225
5.819095477386934,2.03085856740245,0.2845675039812007
5.9045226130653266,2.0518521539294916,0.3267935664069096
5.989949748743719,2.067255557189904,0.3790849867720707
6.075376884422111,2.070995424895502,0.4413432256176108
6.160804020100502,2.0553564361490935,0.508768993425005
6.246231155778894,2.0157705866706848,0.5692708034933094
6.331658291457286,1.958661481004674,0.6074016440456749
6.417085427135678,1.9018012674915379,0.6165770748432742
6.50251256281407,1.8615700405751068,0.6053206532068502
6.5879396984924625,1.8425879757598282,0.5885584311046604
6.673366834170854,1.8402090917697964,0.5772049369558032
6.758793969849246,1.847366993172175,0.5758770773423385
6.844221105527637,1.8582116929235242,0.5852077069420728
6.92964824120603,1.8687020288663279,0.6041449443308144
7.015075376884422,1.8761665142026542,0.6311105110278057
7.100502512562814,1.8788624901888884,0.6644151550207572
