Energy (eV),n,k
2.697698,2.460085,0.006483
2.705706,2.462373,0.006528
2.713714,2.464685,0.006573
2.721722,2.467022,0.006618
2.729730,2.469383,0.006664
2.737738,2.471770,0.006710
2.745746,2.474183,0.006757
2.753754,2.476623,0.006805
2.761762,2.479090,0.006853
2.769770,2.481585,0.006902
2.777778,2.484109,0.006951
2.785786,2.486662,0.007001
2.793794,2.489245,0.007052
2.801802,2.491858,0.007104
2.809810,2.494504,0.007157
2.817818,2.497182,0.007211
2.825826,2.499893,0.007266
2.833834,2.502638,0.007322
2.841842,2.505418,0.007380
2.849850,2.508235,0.007440
2.857858,2.511088,0.007502
2.865866,2.513979,0.007565
2.873874,2.516910,0.007632
2.881882,2.519881,0.007701
2.889890,2.522893,0.007774
2.897898,2.525948,0.007850
2.905906,2.529047,0.007931
2.913914,2.532192,0.008017
2.921922,2.535383,0.008108
2.929930,2.538623,0.008206
2.937938,2.541912,0.008312
2.945946,2.545254,0.008427
2.953954,2.548648,0.008551
2.961962,2.552097,0.008688
2.969970,2.555604,0.008837
2.977978,2.559169,0.009002
2.985986,2.562795,0.009184
2.993994,2.566485,0.009386
3.002002,2.570240,0.009610
3.010010,2.574064,0.009861
3.018018,2.577957,0.010141
3.026026,2.581924,0.010455
3.034034,2.585967,0.010806
3.042042,2.590089,0.011201
3.050050,2.594292,0.011645
3.058058,2.598580,0.012145
3.066066,2.602957,0.012708
3.074074,2.607424,0.013341
3.082082,2.611986,0.014055
3.090090,2.616645,0.014859
3.098098,2.621405,0.015764
3.106106,2.626269,0.016783
3.114114,2.631240,0.017930
3.122122,2.636320,0.019220
3.130130,2.641511,0.020671
3.138138,2.646815,0.022301
3.146146,2.652232,0.024130
3.154154,2.657761,0.026182
3.162162,2.663401,0.028482
3.170170,2.669148,0.031055
3.178178,2.674996,0.033933
3.186186,2.680936,0.037146
3.194194,2.686955,0.040728
3.202202,2.693037,0.044715
3.210210,2.699160,0.049144
3.218218,2.705298,0.054054
3.226226,2.711415,0.059484
3.234234,2.717471,0.065472
3.242242,2.723414,0.072054
3.250250,2.729184,0.079263
3.258258,2.734712,0.087126
3.266266,2.739918,0.095659
3.274274,2.744713,0.104869
3.282282,2.749001,0.114747
3.290290,2.752678,0.125266
3.298298,2.755641,0.136379
