Energy (eV),n,k
8.367367,1.517217,1.605329
8.375375,1.516705,1.601590
8.383383,1.516280,1.597919
8.391391,1.515941,1.594318
8.399399,1.515683,1.590788
8.407407,1.515503,1.587332
8.415415,1.515397,1.583949
8.423423,1.515363,1.580642
8.431431,1.515396,1.577411
8.439439,1.515493,1.574258
8.447447,1.515652,1.571183
8.455455,1.515868,1.568186
8.463463,1.516139,1.565268
8.471471,1.516461,1.562430
8.479479,1.516832,1.559672
8.487487,1.517248,1.556994
8.495495,1.517707,1.554395
8.503504,1.518205,1.551877
8.511512,1.518740,1.549439
8.519520,1.519308,1.547080
8.527528,1.519908,1.544801
8.535536,1.520537,1.542602
8.543544,1.521192,1.540481
8.551552,1.521870,1.538439
8.559560,1.522569,1.536474
8.567568,1.523288,1.534588
8.575576,1.524023,1.532778
8.583584,1.524772,1.531046
8.591592,1.525533,1.529389
8.599600,1.526304,1.527808
8.607608,1.527082,1.526301
8.615616,1.527866,1.524869
8.623624,1.528653,1.523510
8.631632,1.529442,1.522224
8.639640,1.530230,1.521009
8.647648,1.531015,1.519866
8.655656,1.531795,1.518793
8.663664,1.532568,1.517790
8.671672,1.533333,1.516855
8.679680,1.534086,1.515987
8.687688,1.534827,1.515186
8.695696,1.535554,1.514450
8.703704,1.536263,1.513777
8.711712,1.536955,1.513168
8.719720,1.537627,1.512620
8.727728,1.538276,1.512133
8.735736,1.538902,1.511704
8.743744,1.539503,1.511332
8.751752,1.540078,1.511016
8.759760,1.540624,1.510754
8.767768,1.541140,1.510544
8.775776,1.541626,1.510384
8.783784,1.542079,1.510274
8.791792,1.542499,1.510210
8.799800,1.542884,1.510192
8.807808,1.543234,1.510217
8.815816,1.543547,1.510283
8.823824,1.543823,1.510388
8.831832,1.544061,1.510531
8.839840,1.544261,1.510710
8.847848,1.544421,1.510921
8.855856,1.544542,1.511165
8.863864,1.544623,1.511438
8.871872,1.544663,1.511738
8.879880,1.544663,1.512065
8.887888,1.544623,1.512415
8.895896,1.544543,1.512788
8.903904,1.544422,1.513180
8.911912,1.544262,1.513591
8.919920,1.544061,1.514019
8.927928,1.543821,1.514462
8.935936,1.543542,1.514918
8.943944,1.543224,1.515386
8.951952,1.542868,1.515865
8.959960,1.542474,1.516352
8.967968,1.542043,1.516847
8.975976,1.541576,1.517348
8.983984,1.541073,1.517854
8.991992,1.540536,1.518364
9.000000,1.539963,1.518876
