omega,n,k
8.914915,4.716465,0.832969
8.928929,5.040047,0.829594
8.942943,5.400135,0.826227
8.956957,5.803842,0.822868
8.970971,6.260232,0.819518
8.984985,6.781039,0.816174
8.998999,7.381735,0.812838
9.013013,8.083140,0.809507
9.027027,8.913956,0.806182
9.041041,9.914897,0.802862
9.055055,11.145697,0.799547
9.069069,12.697697,0.796236
9.083083,14.717938,0.792929
9.097097,17.459261,0.789624
9.111111,21.396344,0.786322
9.125125,27.537363,0.783022
9.139139,38.466419,0.779724
9.153153,63.398053,0.776426
9.167167,177.491074,0.773129
9.181181,-225.697814,0.769832
9.195195,-69.299645,0.766535
9.209209,-41.029558,0.763236
9.223223,-29.182909,0.759936
9.237237,-22.665584,0.756634
9.251251,-18.539296,0.753330
9.265265,-15.690476,0.750023
9.279279,-13.604157,0.746713
9.293293,-12.009401,0.743398
9.307307,-10.750058,0.740080
9.321321,-9.729798,0.736758
9.335335,-8.885970,0.733430
9.349349,-8.176062,0.730097
9.363363,-7.570214,0.726758
9.377377,-7.046836,0.723413
9.391391,-6.589929,0.720062
9.405405,-6.187387,0.716704
9.419419,-5.829877,0.713339
9.433433,-5.510092,0.709967
9.447447,-5.222227,0.706587
9.461461,-4.961613,0.703199
9.475475,-4.724449,0.699803
9.489489,-4.507614,0.696398
9.503504,-4.308517,0.692984
9.517518,-4.124991,0.689562
9.531532,-3.955211,0.686131
9.545546,-3.797624,0.682690
9.559560,-3.650906,0.679240
9.573574,-3.513918,0.675780
9.587588,-3.385675,0.672310
9.601602,-3.265321,0.668831
9.615616,-3.152110,0.665342
9.629630,-3.045385,0.661842
9.643644,-2.944570,0.658333
9.657658,-2.849154,0.654814
9.671672,-2.758684,0.651284
9.685686,-2.672756,0.647744
9.699700,-2.591009,0.644195
9.713714,-2.513120,0.640635
9.727728,-2.438798,0.637065
9.741742,-2.367780,0.633486
9.755756,-2.299830,0.629896
9.769770,-2.234731,0.626297
9.783784,-2.172290,0.622689
9.797798,-2.112326,0.619071
9.811812,-2.054679,0.615444
9.825826,-1.999199,0.611808
9.839840,-1.945749,0.608164
9.853854,-1.894205,0.604511
9.867868,-1.844451,0.600850
9.881882,-1.796382,0.597180
9.895896,-1.749897,0.593504
9.909910,-1.704908,0.589820
9.923924,-1.661330,0.586129
9.937938,-1.619084,0.582431
9.951952,-1.578098,0.578727
9.965966,-1.538305,0.575017
9.979980,-1.499641,0.571302
9.993994,-1.462048,0.567582
10.008008,-1.425472,0.563857
10.022022,-1.389859,0.560129
10.036036,-1.355163,0.556396
10.050050,-1.321339,0.552660
10.064064,-1.288343,0.548922
10.078078,-1.256136,0.545182
10.092092,-1.224681,0.541440
10.106106,-1.193943,0.537696
10.120120,-1.163887,0.533953
10.134134,-1.134483,0.530209
10.148148,-1.105701,0.526466
10.162162,-1.077513,0.522724
10.176176,-1.049892,0.518983
10.190190,-1.022813,0.515245
10.204204,-0.996253,0.511510
10.218218,-0.970188,0.507779
10.232232,-0.944598,0.504051
10.246246,-0.919461,0.500328
10.260260,-0.894759,0.496611
10.274274,-0.870472,0.492900
10.288288,-0.846584,0.489195
10.302302,-0.823077,0.485497
10.316316,-0.799936,0.481808
10.330330,-0.777145,0.478126
10.344344,-0.754689,0.474454
10.358358,-0.732554,0.470792
10.372372,-0.710728,0.467140
10.386386,-0.689197,0.463498
10.400400,-0.667949,0.459869
10.414414,-0.646973,0.456251
10.428428,-0.626256,0.452647
10.442442,-0.605788,0.449055
10.456456,-0.585558,0.445478
10.470470,-0.565558,0.441915
10.484484,-0.545776,0.438368
10.498498,-0.526203,0.434836
10.512513,-0.506831,0.431320
10.526527,-0.487651,0.427821
10.540541,-0.468654,0.424340
10.554555,-0.449832,0.420876
10.568569,-0.431177,0.417431
10.582583,-0.412682,0.414004
10.596597,-0.394340,0.410597
10.610611,-0.376142,0.407210
10.624625,-0.358082,0.403843
10.638639,-0.340153,0.400497
10.652653,-0.322349,0.397173
10.666667,-0.304663,0.393870
10.680681,-0.287088,0.390589
10.694695,-0.269618,0.387330
10.708709,-0.252248,0.384095
10.722723,-0.234970,0.380882
10.736737,-0.217780,0.377693
10.750751,-0.200671,0.374529
10.764765,-0.183637,0.371388
10.778779,-0.166673,0.368272
10.792793,-0.149772,0.365181
10.806807,-0.132930,0.362115
10.820821,-0.116140,0.359075
10.834835,-0.099397,0.356060
10.848849,-0.082696,0.353071
10.862863,-0.066029,0.350109
10.876877,-0.049393,0.347173
