omega,n,k
18.850851,0.491881,0.117219
18.864865,0.492286,0.117077
18.878879,0.492690,0.116934
18.892893,0.493095,0.116792
18.906907,0.493501,0.116650
18.920921,0.493906,0.116508
18.934935,0.494311,0.116367
18.948949,0.494717,0.116225
18.962963,0.495123,0.116085
18.976977,0.495528,0.115944
18.990991,0.495934,0.115804
19.005005,0.496341,0.115664
19.019019,0.496747,0.115524
19.033033,0.497153,0.115384
19.047047,0.497560,0.115245
19.061061,0.497966,0.115106
19.075075,0.498373,0.114967
19.089089,0.498780,0.114829
19.103103,0.499186,0.114691
19.117117,0.499593,0.114553
19.131131,0.500000,0.114415
19.145145,0.500408,0.114278
19.159159,0.500815,0.114141
19.173173,0.501222,0.114004
19.187187,0.501629,0.113867
19.201201,0.502037,0.113731
19.215215,0.502444,0.113595
19.229229,0.502852,0.113459
19.243243,0.503260,0.113323
19.257257,0.503667,0.113188
19.271271,0.504075,0.113053
19.285285,0.504483,0.112918
19.299299,0.504891,0.112784
19.313313,0.505299,0.112649
19.327327,0.505707,0.112515
19.341341,0.506115,0.112381
19.355355,0.506523,0.112248
19.369369,0.506931,0.112115
19.383383,0.507339,0.111982
19.397397,0.507747,0.111849
19.411411,0.508155,0.111716
19.425425,0.508564,0.111584
19.439439,0.508972,0.111452
19.453453,0.509380,0.111320
19.467467,0.509788,0.111189
19.481481,0.510196,0.111058
19.495495,0.510605,0.110927
19.509510,0.511013,0.110796
19.523524,0.511421,0.110665
19.537538,0.511830,0.110535
19.551552,0.512238,0.110405
19.565566,0.512646,0.110275
19.579580,0.513054,0.110146
19.593594,0.513463,0.110016
19.607608,0.513871,0.109887
19.621622,0.514279,0.109758
19.635636,0.514687,0.109630
19.649650,0.515095,0.109501
19.663664,0.515503,0.109373
19.677678,0.515912,0.109246
19.691692,0.516320,0.109118
19.705706,0.516728,0.108991
19.719720,0.517136,0.108863
19.733734,0.517544,0.108736
19.747748,0.517952,0.108610
19.761762,0.518360,0.108483
19.775776,0.518767,0.108357
19.789790,0.519175,0.108231
19.803804,0.519583,0.108105
19.817818,0.519991,0.107980
19.831832,0.520398,0.107855
19.845846,0.520806,0.107730
19.859860,0.521214,0.107605
19.873874,0.521621,0.107480
19.887888,0.522028,0.107356
19.901902,0.522436,0.107232
19.915916,0.522843,0.107108
19.929930,0.523250,0.106984
19.943944,0.523657,0.106861
19.957958,0.524065,0.106738
19.971972,0.524472,0.106615
19.985986,0.524878,0.106492
20.000000,0.525285,0.106369
